# Parameters: L=350.0, E=3.0, rs=30.0, N=10.0, xi=30.0
r,f,Lc,pf
0.000000000000000000e+00,9.344416017709151201e-32,6.422776195326997595e+01,9.525741268224333647e-01
3.468468468468468568e-01,7.703772751688570987e-03,6.770864425797167030e+01,9.409711858067610901e-01
6.936936936936937137e-01,1.462416606410490809e-02,7.150179851317737700e+01,9.283273382892803793e-01
1.040540540540540571e+00,2.081368419314612306e-02,7.551594842615754999e+01,9.149468385794207181e-01
1.387387387387387427e+00,2.635318659746251763e-02,7.967274315010355679e+01,9.010908561663165672e-01
1.734234234234234284e+00,3.133062307003081637e-02,8.391130336175513094e+01,8.869623221274823832e-01
2.081081081081081141e+00,3.582891983694441729e-02,8.818709864632222661e+01,8.727096711790245376e-01
2.427927927927927776e+00,3.992089633625584000e-02,9.246872997441704456e+01,8.584375667523386211e-01
2.774774774774774855e+00,4.366820132127933324e-02,9.673456846413488108e+01,8.442181051199887376e-01
3.121621621621621934e+00,4.712210607849055127e-02,1.009699716158725806e+02,8.301000946143490822e-01
3.468468468468468568e+00,5.032494932735648296e-02,1.051651935856253175e+02,8.161160213812570507e-01
3.815315315315315203e+00,5.331166149351806299e-02,1.093138885700410157e+02,8.022870380999155282e-01
4.162162162162162282e+00,5.611113797629892208e-02,1.134120626632485482e+02,7.886264577892319050e-01
4.509009009009009361e+00,5.874739438967003374e-02,1.174573465714443614e+02,7.751421780952396645e-01
4.855855855855855552e+00,6.124050653778643355e-02,1.214484920284978671e+02,7.618383599050515542e-01
5.202702702702702631e+00,6.360736297946523177e-02,1.253850224991299882e+02,7.487165916696011392e-01
5.549549549549549710e+00,6.586226344413130540e-02,1.292669900184005769e+02,7.357766999386905482e-01
5.896396396396396788e+00,6.801739397762060491e-02,1.330948051886004464e+02,7.230173160380326536e-01
6.243243243243243867e+00,7.008320486226798929e-02,1.368691178293044857e+02,7.104362739023432072e-01
6.590090090090090058e+00,7.206871230092556924e-02,1.405907329019926806e+02,6.980308903267089526e-01
6.936936936936937137e+00,7.398174039458367546e-02,1.442605511543227692e+02,6.857981628189367962e-01
7.283783783783784216e+00,7.582911629286445687e-02,1.478795272055263865e+02,6.737349092776954151e-01
7.630630630630630407e+00,7.761682842397077398e-02,1.514486399497116906e+02,6.618378668077725679e-01
7.977477477477477485e+00,7.935015569207058694e-02,1.549688718778819236e+02,6.501037603883123017e-01
8.324324324324324564e+00,8.103377339625518483e-02,1.584411946184870601e+02,6.385293512464461640e-01
8.671171171171170755e+00,8.267184068980151790e-02,1.618665590525907305e+02,6.271114698072168814e-01
9.018018018018018722e+00,8.426807320197983453e-02,1.652458887390093594e+02,6.158470375247278028e-01
9.364864864864864913e+00,8.582580360391639518e-02,1.685800756527083877e+02,6.047330811496832714e-01
9.711711711711711104e+00,8.734803244097945341e-02,1.718699776528344785e+02,5.937667411520309857e-01
1.005855855855855907e+01,8.883747098929371810e-02,1.751164171707072228e+02,5.829452760943624190e-01
1.040540540540540526e+01,9.029657756588682638e-02,1.783201807735240720e+02,5.722660640877323956e-01
1.075225225225225323e+01,9.172758843982528609e-02,1.814820193566956164e+02,5.617266021431976952e-01
1.109909909909909942e+01,9.313254425066273823e-02,1.846026487554671860e+02,5.513245041472000230e-01
1.144594594594594561e+01,9.451331270226832892e-02,1.876827506734400117e+02,5.410574977545929976e-01
1.179279279279279358e+01,9.587160812133774246e-02,1.907229738001997248e+02,5.309234206657462707e-01
1.213963963963963977e+01,9.720900838258250687e-02,1.937239350512312228e+02,5.209202164959189085e-01
1.248648648648648773e+01,9.852696961276412313e-02,1.966862208836200239e+02,5.110459303879466564e-01
1.283333333333333393e+01,9.982683900593519732e-02,1.996103886395334257e+02,5.012987045348894499e-01
1.318018018018018012e+01,1.011098660336965660e-01,2.024969678972111353e+02,4.916767736759632967e-01
1.352702702702702808e+01,1.023772122808780383e-01,2.053464618044367285e+02,4.821784606518850769e-01
1.387387387387387427e+01,1.036299601026947070e-01,2.081593483827813316e+02,4.728021720574294706e-01
1.422072072072072046e+01,1.048691202670643252e-01,2.109360817933178396e+02,4.635463940224057722e-01
1.456756756756756843e+01,1.060956387199591816e-01,2.136770935575038379e+02,4.544096881419068534e-01
