# Parameters: L=350.0, E=10.0, rs=3.0, N=10.0, xi=30.0
r,f,Lc,pf
0.000000000000000000e+00,2.707922829352167224e-26,5.001361936061067581e+01,9.999546021312976096e-01
3.468468468468468568e-01,1.043888875623069298e-02,5.001405260203424064e+01,9.999531579932191550e-01
6.936936936936937137e-01,2.095177103729928270e-02,5.001450284334219987e+01,9.999516571888592553e-01
1.040540540540540571e+00,3.154074028956183051e-02,5.001497092624868657e+01,9.999500969125044714e-01
1.387387387387387427e+00,4.220796409756717021e-02,5.001545774417384393e+01,9.999484741860872328e-01
1.734234234234234284e+00,5.295568732128073247e-02,5.001596424605255464e+01,9.999467858464913261e-01
2.081081081081081141e+00,6.378623538582776920e-02,5.001649144046847084e+01,9.999450285317716958e-01
2.427927927927927776e+00,7.470201773191274819e-02,5.001704040014622876e+01,9.999431986661790894e-01
2.774774774774774855e+00,8.570553143551408459e-02,5.001761226683743899e+01,9.999412924438753070e-01
3.121621621621621934e+00,9.679936500592836723e-02,5.001820825663778436e+01,9.999393058112074906e-01
3.468468468468468568e+00,1.079862023717177849e-01,5.001882966578101275e+01,9.999372344473964613e-01
3.815315315315315203e+00,1.192688270646290322e-01,5.001947787695645076e+01,9.999350737434784531e-01
4.162162162162162282e+00,1.306501266120782268e-01,5.002015436620428801e+01,9.999328187793189437e-01
4.509009009009009361e+00,1.421330971493372508e-01,5.002086071044930549e+01,9.999304642985021863e-01
4.855855855855855552e+00,1.537208482631259310e-01,5.002159859573951195e+01,9.999280046808681766e-01
5.202702702702702631e+00,1.654166080788858073e-01,5.002236982626421735e+01,9.999254339124528101e-01
5.549549549549549710e+00,1.772237286045957871e-01,5.002317633423631094e+01,9.999227455525455666e-01
5.896396396396396788e+00,1.891456913445840882e-01,5.002402019073183936e+01,9.999199326975604096e-01
6.243243243243243867e+00,2.011861131973843586e-01,5.002490361759176807e+01,9.999169879413609685e-01
6.590090090090090058e+00,2.133487526522621358e-01,5.002582900050454384e+01,9.999139033316514213e-01
6.936936936936937137e+00,2.256375162996048511e-01,5.002679890340265700e+01,9.999106703219911019e-01
7.283783783783784216e+00,2.380564656709169558e-01,5.002781608432059102e+01,9.999072797189314521e-01
7.630630630630630407e+00,2.506098244246404705e-01,5.002888351288444824e+01,9.999037216237184333e-01
7.977477477477477485e+00,2.633019858944611880e-01,5.003000438962190799e+01,9.998999853679270133e-01
8.324324324324324564e+00,2.761375210171093109e-01,5.003118216730670298e+01,9.998960594423109693e-01
8.671171171171170755e+00,2.891211866568856315e-01,5.003242057458085412e+01,9.998919314180638729e-01
9.018018018018018722e+00,3.022579343442384214e-01,5.003372364212793855e+01,9.998875878595735456e-01
9.364864864864864913e+00,3.155529194455991560e-01,5.003509573170946823e+01,9.998830142276351474e-01
9.711711711711711104e+00,3.290115107813346151e-01,5.003654156841759004e+01,9.998781947719412866e-01
1.005855855855855907e+01,3.426393007080140718e-01,5.003806627654500261e+01,9.998731124115165514e-01
1.040540540540540526e+01,3.564421156801278467e-01,5.003967541953046805e+01,9.998677486015649096e-01
1.075225225225225323e+01,3.704260273048688434e-01,5.004137504450000762e+01,9.998620831849998059e-01
1.109909909909909942e+01,3.845973639014297896e-01,5.004317173199981994e+01,9.998560942266671026e-01
1.144594594594594561e+01,3.989627225733942684e-01,5.004507265159993068e+01,9.998497578279998965e-01
1.179279279279279358e+01,4.135289817989610817e-01,5.004708562414739248e+01,9.998430479195080656e-01
1.213963963963963977e+01,4.283033145387849516e-01,5.004921919156114285e+01,9.998359360281291464e-01
1.248648648648648773e+01,4.432932018548479958e-01,5.005148269519064996e+01,9.998283910160304933e-01
1.283333333333333393e+01,4.585064470256288716e-01,5.005388636391747070e+01,9.998203787869409664e-01
1.318018018018018012e+01,4.739511901326567966e-01,5.005644141334874320e+01,9.998118619555030895e-01
1.352702702702702808e+01,4.896359230806033302e-01,5.005916015766502625e+01,9.998027994744485003e-01
1.387387387387387427e+01,5.055695049970517774e-01,5.006205613591815506e+01,9.997931462136041558e-01
1.422072072072072046e+01,5.217611779380505466e-01,5.006514425485551811e+01,9.997828524838122677e-01
1.456756756756756843e+01,5.382205828007283754e-01,5.006844095067051370e+01,9.997718634977614816e-01
1.491441441441441462e+01,5.549577753135238600e-01,5.007196437245551124e+01,9.997601187584770344e-01
1.526126126126126081e+01,5.719832419366075449e-01,5.007573459057321230e+01,9.997475513647502421e-01
1.560810810810810878e+01,5.893079154582812063e-01,5.007977383367242652e+01,9.997340872210840335e-01
1.595495495495495497e+01,6.069431900154578230e-01,5.008410675867362016e+01,9.997196441377439458e-01
1.630180180180180116e+01,6.249009351955711056e-01,5.008876075873611455e+01,9.997041308041988428e-01
1.664864864864864913e+01,6.431935087901783366e-01,5.009376631503128863e+01,9.996874456165436573e-01
1.699549549549549710e+01,6.618337676639375333e-01,5.009915739907598464e+01,9.996694753363880581e-01
1.734234234234234151e+01,6.808350760717849504e-01,5.010497193347383416e+01,9.996500935550871603e-01
1.768918918918918948e+01,7.002113105990348529e-01,5.011125232009214869e+01,9.996291589330260630e-01
1.803603603603603744e+01,7.199768606998547815e-01,5.011804604632959581e+01,9.996065131789014790e-01
1.838288288288288186e+01,7.401466235792143467e-01,5.012540638145614480e+01,9.995819787284795366e-01
1.872972972972972983e+01,7.607359918684419853e-01,5.013339317715867338e+01,9.995553560761378797e-01
1.907657657657657779e+01,7.817608321992721709e-01,5.014207378833056339e+01,9.995264207055648553e-01
1.942342342342342221e+01,8.032374523589629334e-01,5.015152413249764152e+01,9.994949195583412438e-01
