# lambda,sigma
1.000000e+00,0.000000e+00
1.004004e+00,-8.027163e-01
1.008008e+00,-2.155115e+00
1.012012e+00,-1.476100e+00
1.016016e+00,-1.189117e+00
1.020020e+00,-1.952753e+00
1.024024e+00,-1.438353e+00
1.028028e+00,-5.139673e-01
1.032032e+00,7.425433e-01
1.036036e+00,1.989200e+00
1.040040e+00,3.217323e+00
1.044044e+00,4.338919e+00
1.048048e+00,5.149322e+00
1.052052e+00,5.784550e+00
1.056056e+00,6.450945e+00
1.060060e+00,7.208146e+00
1.064064e+00,7.826372e+00
1.068068e+00,8.089878e+00
1.072072e+00,8.935379e+00
1.076076e+00,9.585490e+00
1.080080e+00,9.257182e+00
1.084084e+00,9.266624e+00
1.088088e+00,9.289237e+00
1.092092e+00,9.093934e+00
1.096096e+00,9.442860e+00
1.100100e+00,9.506248e+00
1.104104e+00,1.017572e+01
1.108108e+00,1.137525e+01
1.112112e+00,1.254475e+01
1.116116e+00,1.335322e+01
1.120120e+00,1.396048e+01
1.124124e+00,1.465083e+01
1.128128e+00,1.538979e+01
1.132132e+00,1.617593e+01
1.136136e+00,1.700415e+01
1.140140e+00,1.738795e+01
1.144144e+00,1.814625e+01
1.148148e+00,1.838510e+01
1.152152e+00,1.821480e+01
1.156156e+00,1.830535e+01
1.160160e+00,1.901568e+01
1.164164e+00,1.946487e+01
1.168168e+00,1.961056e+01
1.172172e+00,1.996139e+01
1.176176e+00,2.000163e+01
1.180180e+00,2.070278e+01
1.184184e+00,2.110664e+01
1.188188e+00,2.131168e+01
1.192192e+00,2.188024e+01
1.196196e+00,2.266095e+01
1.200200e+00,2.317390e+01
1.204204e+00,2.321278e+01
1.208208e+00,2.308711e+01
1.212212e+00,2.367761e+01
1.216216e+00,2.430861e+01
1.220220e+00,2.518631e+01
1.224224e+00,2.544106e+01
1.228228e+00,2.619870e+01
1.232232e+00,2.686570e+01
1.236236e+00,2.708711e+01
1.240240e+00,2.766720e+01
1.244244e+00,2.836480e+01
1.248248e+00,2.863378e+01
1.252252e+00,2.920631e+01
1.256256e+00,2.995372e+01
1.260260e+00,3.091010e+01
1.264264e+00,3.148942e+01
1.268268e+00,3.218444e+01
1.272272e+00,3.256407e+01
1.276276e+00,3.340075e+01
1.280280e+00,3.340508e+01
1.284284e+00,3.373844e+01
1.288288e+00,3.366488e+01
1.292292e+00,3.433447e+01
1.296296e+00,3.473177e+01
1.300300e+00,3.439967e+01
1.304304e+00,3.405791e+01
1.308308e+00,3.441310e+01
1.312312e+00,3.453096e+01
1.316316e+00,3.469808e+01
1.320320e+00,3.478505e+01
1.324324e+00,3.516663e+01
1.328328e+00,3.564220e+01
1.332332e+00,3.635122e+01
1.336336e+00,3.637610e+01
1.340340e+00,3.652803e+01
1.344344e+00,3.643911e+01
1.348348e+00,3.683408e+01
1.352352e+00,3.685292e+01
1.356356e+00,3.667255e+01
1.360360e+00,3.627372e+01
1.364364e+00,3.667496e+01
1.368368e+00,3.711806e+01
1.372372e+00,3.714639e+01
1.376376e+00,3.698271e+01
1.380380e+00,3.640516e+01
1.384384e+00,3.663888e+01
1.388388e+00,3.714807e+01
1.392392e+00,3.782597e+01
1.396396e+00,3.861952e+01
1.400400e+00,3.818360e+01
1.404404e+00,3.843177e+01
1.408408e+00,3.915553e+01
1.412412e+00,3.994401e+01
1.416416e+00,4.077301e+01
1.420420e+00,4.114338e+01
1.424424e+00,4.120259e+01
1.428428e+00,4.065085e+01
1.432432e+00,4.059177e+01
1.436436e+00,4.093206e+01
1.440440e+00,4.082121e+01
1.444444e+00,3.987144e+01
1.448448e+00,3.974896e+01
1.452452e+00,4.013980e+01
1.456456e+00,4.024864e+01
1.460460e+00,4.083345e+01
1.464464e+00,4.057008e+01
1.468468e+00,3.993498e+01
1.472472e+00,4.004898e+01
1.476476e+00,4.019421e+01
1.480480e+00,4.050418e+01
1.484484e+00,4.117251e+01
1.488488e+00,4.192013e+01
1.492492e+00,4.267250e+01
1.496496e+00,4.288503e+01
1.500501e+00,4.317647e+01
1.504505e+00,4.380986e+01
1.508509e+00,4.422289e+01
1.512513e+00,4.484521e+01
1.516517e+00,4.535315e+01
1.520521e+00,4.598189e+01
1.524525e+00,4.617713e+01
1.528529e+00,4.658768e+01
1.532533e+00,4.641285e+01
1.536537e+00,4.701061e+01
1.540541e+00,4.756077e+01
1.544545e+00,4.778792e+01
1.548549e+00,4.693732e+01
1.552553e+00,4.723453e+01
1.556557e+00,4.774022e+01
1.560561e+00,4.777271e+01
1.564565e+00,4.792529e+01
1.568569e+00,4.791650e+01
1.572573e+00,4.845459e+01
1.576577e+00,4.876341e+01
1.580581e+00,4.893316e+01
1.584585e+00,4.963217e+01
1.588589e+00,4.979970e+01
1.592593e+00,4.996940e+01
1.596597e+00,4.982721e+01
1.600601e+00,4.995575e+01
1.604605e+00,5.044923e+01
1.608609e+00,4.935119e+01
1.612613e+00,4.916235e+01
1.616617e+00,4.944062e+01
1.620621e+00,4.968104e+01
1.624625e+00,5.015269e+01
1.628629e+00,5.037596e+01
1.632633e+00,5.026950e+01
1.636637e+00,5.023511e+01
1.640641e+00,5.030231e+01
1.644645e+00,4.992395e+01
1.648649e+00,4.946254e+01
1.652653e+00,4.999497e+01
1.656657e+00,5.035900e+01
1.660661e+00,5.069579e+01
1.664665e+00,5.096382e+01
1.668669e+00,5.113083e+01
1.672673e+00,5.070181e+01
1.676677e+00,5.029115e+01
1.680681e+00,5.017614e+01
1.684685e+00,5.030074e+01
1.688689e+00,5.048779e+01
1.692693e+00,5.040387e+01
1.696697e+00,5.021907e+01
1.700701e+00,5.013599e+01
1.704705e+00,4.986406e+01
1.708709e+00,4.963664e+01
1.712713e+00,5.006896e+01
1.716717e+00,5.066907e+01
1.720721e+00,5.129799e+01
1.724725e+00,5.166681e+01
1.728729e+00,5.195679e+01
1.732733e+00,5.257893e+01
1.736737e+00,5.321354e+01
1.740741e+00,5.382403e+01
1.744745e+00,5.446218e+01
1.748749e+00,5.506435e+01
1.752753e+00,5.505393e+01
1.756757e+00,5.527450e+01
1.760761e+00,5.568939e+01
1.764765e+00,5.559332e+01
1.768769e+00,5.584052e+01
1.772773e+00,5.620811e+01
1.776777e+00,5.628989e+01
1.780781e+00,5.601833e+01
1.784785e+00,5.647116e+01
1.788789e+00,5.646572e+01
1.792793e+00,5.660374e+01
1.796797e+00,5.689176e+01
1.800801e+00,5.714153e+01
1.804805e+00,5.703825e+01
1.808809e+00,5.728906e+01
1.812813e+00,5.758674e+01
1.816817e+00,5.649908e+01
1.820821e+00,5.649403e+01
1.824825e+00,5.658128e+01
1.828829e+00,5.698023e+01
1.832833e+00,5.701006e+01
1.836837e+00,5.703600e+01
1.840841e+00,5.753075e+01
1.844845e+00,5.781167e+01
1.848849e+00,5.801508e+01
1.852853e+00,5.811154e+01
1.856857e+00,5.812186e+01
1.860861e+00,5.840674e+01
1.864865e+00,5.806951e+01
1.868869e+00,5.751573e+01
1.872873e+00,5.740528e+01
1.876877e+00,5.795481e+01
1.880881e+00,5.850237e+01
1.884885e+00,5.905052e+01
1.888889e+00,5.926158e+01
1.892893e+00,5.943681e+01
1.896897e+00,5.982146e+01
1.900901e+00,6.033948e+01
1.904905e+00,6.088642e+01
1.908909e+00,6.116609e+01
1.912913e+00,6.135649e+01
1.916917e+00,6.170560e+01
1.920921e+00,6.203119e+01
1.924925e+00,6.202391e+01
1.928929e+00,6.239177e+01
1.932933e+00,6.233841e+01
1.936937e+00,6.176107e+01
1.940941e+00,6.184878e+01
1.944945e+00,6.207743e+01
1.948949e+00,6.231831e+01
1.952953e+00,6.228970e+01
1.956957e+00,6.214444e+01
1.960961e+00,6.172001e+01
1.964965e+00,6.150071e+01
1.968969e+00,6.173943e+01
1.972973e+00,6.155195e+01
