sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0019806527,0.0013843304,0.0018915956,0.0026657231,0.0015205450,0.0025430874,0.0027494574,0.0049602662,0.0018700475,0.0016095462,0.0017966938,0.0018192495,0.0013961191,0.0018590857,0.0023970324,0.0016716959,0.0023269108,0.0072280698,0.0021453928,0.0032129649,0.0017780808,0.0016929956,0.0014499174,0.0032878354,0.0023106469,0.0014377278,0.0058511854,0.0015940363,0.0016499674,0.0017286207,0.0087216111,0.0015656423,0.0023676664,0.0032057734,0.0015495107,0.0082577517,0.0057250254,0.0016765167,0.0016345877,0.0018304876,0.0020870291,0.0019145295,0.0015416728,0.0019754100
0.0039613629,0.0027686805,0.0037832414,0.0053315869,0.0030411160,0.0050862969,0.0054990692,0.0099214500,0.0037401434,0.0032191233,0.0035934306,0.0036385437,0.0027922584,0.0037182190,0.0047941670,0.0033434264,0.0046539150,0.0144590397,0.0042908587,0.0064261767,0.0035562033,0.0033860271,0.0028998573,0.0065759355,0.0046213853,0.0028754776,0.0117038879,0.0031881025,0.0032999681,0.0034572798,0.0174484164,0.0031313130,0.0047354313,0.0064117921,0.0030990489,0.0165198837,0.0114514703,0.0033530683,0.0032692077,0.0036610206,0.0041741256,0.0038291110,0.0030833728,0.0039508771
0.0059421884,0.0041530699,0.0056749875,0.0079977321,0.0045617390,0.0076297506,0.0082489899,0.0148844695,0.0056103363,0.0048287621,0.0053902534,0.0054579271,0.0041884379,0.0055774475,0.0071915061,0.0050152261,0.0069811063,0.0216958123,0.0064364712,0.0096398823,0.0053344091,0.0050791306,0.0043498424,0.0098645648,0.0069323068,0.0043132714,0.0175596253,0.0047822288,0.0049500353,0.0051860153,0.0261856180,0.0046970406,0.0071033932,0.0096183012,0.0046486422,0.0247907819,0.0171807549,0.0050296897,0.0049038925,0.0054916445,0.0062613569,0.0057437965,0.0046251271,0.0059264585
0.0079231867,0.0055375182,0.0075668841,0.0106642996,0.0060824403,0.0101735708,0.0109993740,0.0198502434,0.0074806746,0.0064384936,0.0071872051,0.0072774444,0.0055846780,0.0074368190,0.0095891518,0.0066871297,0.0093085780,0.0289412964,0.0085823034,0.0128543287,0.0071127399,0.0067723419,0.0057998952,0.0131539883,0.0092435029,0.0057511312,0.0234199177,0.0063764451,0.0066002024,0.0069148657,0.0349384330,0.0062628535,0.0094716506,0.0128255462,0.0061983182,0.0330748436,0.0229143012,0.0067064158,0.0065386743,0.0073224048,0.0083487904,0.0076586381,0.0061669628,0.0079022113
0.0099044155,0.0069220451,0.0094589815,0.0133314300,0.0076032456,0.0127178796,0.0137503760,0.0248196920,0.0093512069,0.0080483487,0.0089843287,0.0090971402,0.0069809986,0.0092963809,0.0119872065,0.0083591717,0.0116364238,0.0361984091,0.0107284286,0.0160697631,0.0088912374,0.0084656971,0.0072500383,0.0164444708,0.0115550652,0.0071890791,0.0292862880,0.0079707815,0.0082505026,0.0086438692,0.0437121013,0.0078287801,0.0118403021,0.0160337725,0.0077481045,0.0413764835,0.0286535340,0.0083832817,0.0081735856,0.0091533469,0.0104364937,0.0095736878,0.0077089071,0.0098781928
0.0118859324,0.0083066703,0.0113513297,0.0159992643,0.0091241812,0.0152627992,0.0165021506,0.0297937371,0.0112219815,0.0096583583,0.0107816674,0.0109170592,0.0083774201,0.0111561811,0.0143857726,0.0100313868,0.0139647372,0.0434700792,0.0128749201,0.0192864329,0.0106699431,0.0101592321,0.0087002944,0.0197362776,0.0138670855,0.0086271371,0.0351602629,0.0095652679,0.0099009693,0.0103730642,0.0525118934,0.0093948489,0.0142094463,0.0192432259,0.0092980285,0.0497001392,0.0343998814,0.0100603221,0.0098086587,0.0109845164,0.0125245341,0.0114889977,0.0092509871,0.0118544601
0.0138677950,0.0096914134,0.0132439791,0.0186679435,0.0106452731,0.0178084520,0.0192548525,0.0347733026,0.0130930471,0.0112685533,0.0125792640,0.0127372460,0.0097739624,0.0130162670,0.0167849523,0.0117038097,0.0162936118,0.0507592501,0.0150218512,0.0225045856,0.0124488990,0.0118529828,0.0101506859,0.0230296740,0.0161796552,0.0100653271,0.0410433741,0.0111599343,0.0115516357,0.0121024888,0.0613431185,0.0109610883,0.0165791819,0.0224541522,0.0108481180,0.0580502772,0.0401547760,0.0117375721,0.0114439260,0.0128159588,0.0146129792,0.0134046198,0.0107932300,0.0138310705
0.0158500611,0.0110762940,0.0151369799,0.0213376087,0.0121665474,0.0203549605,0.0220086367,0.0397593150,0.0149644522,0.0128789646,0.0143771616,0.0145577453,0.0111706459,0.0148766865,0.0191848481,0.0133764750,0.0186231414,0.0580688824,0.0171692953,0.0257244692,0.0142281465,0.0135469854,0.0116012355,0.0263249258,0.0184928662,0.0115036713,0.0469371593,0.0127548109,0.0132025351,0.0138321815,0.0702111315,0.0125275268,0.0189496075,0.0256667977,0.0123984004,0.0664313985,0.0459196556,0.0134150666,0.0130794199,0.0146477194,0.0167018964,0.0153206062,0.0123356630,0.0158080811
0.0178327884,0.0124613319,0.0170303822,0.0240084010,0.0136880300,0.0229024472,0.0247636581,0.0447527038,0.0168362453,0.0144896232,0.0161754033,0.0163786018,0.0125674907,0.0167374873,0.0215855625,0.0150494173,0.0209534196,0.0654019572,0.0193173259,0.0289463318,0.0160077276,0.0152412757,0.0130519657,0.0296222991,0.0208068103,0.0129421917,0.0528431628,0.0143499277,0.0148537009,0.0155621806,0.0791213422,0.0140941928,0.0213208219,0.0288814089,0.0139489035,0.0748480454,0.0516959642,0.0150928405,0.0147151727,0.0164798440,0.0187913534,0.0172370090,0.0138783132,0.0177855492
