sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1915580395,0.2363650943,0.1956119588,0.1720829999,0.2209874288,0.1745582786,0.1705553815,0.1514458839,0.1966785651,0.2131922262,0.2005985296,0.1993427594,0.2348249369,0.1972352214,0.1779478014,0.2085200286,0.1797792454,0.1450634774,0.1852940266,0.1638716080,0.2016711465,0.2070415805,0.2283419079,0.1630083056,0.1802255247,0.2297374377,0.1482860652,0.2144497428,0.2100903270,0.2046940284,0.1427906707,0.2168570712,0.1786970658,0.1639571416,0.2182892268,0.1434032240,0.1486671257,0.2081802647,0.2112418567,0.1987343403,0.1873540173,0.1945153065,0.2190028655,0.1917821003
0.3831160790,0.4727301885,0.3912239176,0.3441659999,0.4419748575,0.3491165573,0.3411107630,0.3028917679,0.3933571302,0.4263844523,0.4011970591,0.3986855188,0.4696498738,0.3944704428,0.3558956027,0.4170400572,0.3595584908,0.2901269549,0.3705880532,0.3277432160,0.4033422930,0.4140831611,0.4566838158,0.3260166112,0.3604510494,0.4594748753,0.2965721304,0.4288994856,0.4201806539,0.4093880569,0.2855813415,0.4337141423,0.3573941317,0.3279142831,0.4365784536,0.2868064480,0.2973342514,0.4163605294,0.4224837134,0.3974686806,0.3747080345,0.3890306131,0.4380057311,0.3835642006
0.5746741185,0.7090952828,0.5868358764,0.5162489998,0.6629622863,0.5236748359,0.5116661444,0.4543376518,0.5900356953,0.6395766785,0.6017955887,0.5980282781,0.7044748107,0.5917056641,0.5338434041,0.6255600857,0.5393377362,0.4351904323,0.5558820798,0.4916148241,0.6050134395,0.6211247416,0.6850257236,0.4890249168,0.5406765741,0.6892123130,0.4448581956,0.6433492285,0.6302709809,0.6140820853,0.4283720122,0.6505712135,0.5360911975,0.4918714247,0.6548676804,0.4302096720,0.4460013771,0.6245407941,0.6337255701,0.5962030209,0.5620620518,0.5835459196,0.6570085966,0.5753463009
0.7662321580,0.9454603771,0.7824478352,0.6883319998,0.8839497151,0.6982331146,0.6822215259,0.6057835358,0.7867142605,0.8527689046,0.8023941182,0.7973710375,0.9392997476,0.7889408855,0.7117912054,0.8340801143,0.7191169817,0.5802539097,0.7411761064,0.6554864321,0.8066845860,0.8281663221,0.9133676315,0.6520332224,0.7209020988,0.9189497507,0.5931442608,0.8577989713,0.8403613079,0.8187761138,0.5711626829,0.8674282846,0.7147882633,0.6558285663,0.8731569072,0.5736128960,0.5946685029,0.8327210588,0.8449674268,0.7949373612,0.7494160691,0.7780612261,0.8760114622,0.7671284012
0.9577901975,1.1818254713,0.9780597940,0.8604149997,1.1049371438,0.8727913932,0.8527769074,0.7572294197,0.9833928256,1.0659611308,1.0029926478,0.9967137969,1.1741246845,0.9861761069,0.8897390068,1.0426001429,0.8988962271,0.7253173871,0.9264701330,0.8193580401,1.0083557324,1.0352079026,1.1417095394,0.8150415280,0.9011276235,1.1486871884,0.7414303259,1.0722487141,1.0504516349,1.0234701422,0.7139533537,1.0842853558,0.8934853291,0.8197857078,1.0914461340,0.7170161200,0.7433356286,1.0409013235,1.0562092835,0.9936717015,0.9367700864,0.9725765326,1.0950143277,0.9589105015
1.1493482371,1.4181905656,1.1736717528,1.0324979997,1.3259245726,1.0473496719,1.0233322889,0.9086753037,1.1800713907,1.2791533569,1.2035911773,1.1960565563,1.4089496214,1.1834113283,1.0676868081,1.2511201715,1.0786754725,0.8703808646,1.1117641596,0.9832296481,1.2100268789,1.2422494832,1.3700514473,0.9780498336,1.0813531482,1.3784246260,0.8897163911,1.2866984569,1.2605419618,1.2281641707,0.8567440244,1.3011424270,1.0721823950,0.9837428494,1.3097353608,0.8604193441,0.8920027543,1.2490815882,1.2674511403,1.1924060418,1.1241241036,1.1670918392,1.3140171933,1.1506926018
1.3409062766,1.6545556598,1.3692837117,1.2045809996,1.5469120013,1.2219079505,1.1938876704,1.0601211876,1.3767499558,1.4923455831,1.4041897069,1.3953993157,1.6437745583,1.3806465497,1.2456346095,1.4596402001,1.2584547179,1.0154443420,1.2970581862,1.1471012561,1.4116980254,1.4492910637,1.5983933552,1.1410581392,1.2615786729,1.6081620637,1.0380024563,1.5011481998,1.4706322888,1.4328581991,0.9995346951,1.5179994981,1.2508794608,1.1476999909,1.5280245875,1.0038225681,1.0406698800,1.4572618529,1.4786929970,1.3911403821,1.3114781209,1.3616071457,1.5330200588,1.3424747021
1.5324643161,1.8909207541,1.5648956705,1.3766639996,1.7678994301,1.3964662292,1.3644430518,1.2115670715,1.5734285209,1.7055378093,1.6047882364,1.5947420751,1.8785994952,1.5778817710,1.4235824108,1.6681602287,1.4382339633,1.1605078194,1.4823522128,1.3109728641,1.6133691719,1.6563326442,1.8267352630,1.3040664448,1.4418041976,1.8378995014,1.1862885215,1.7155979426,1.6807226158,1.6375522276,1.1423253659,1.7348565693,1.4295765266,1.3116571325,1.7463138143,1.1472257921,1.1893370057,1.6654421176,1.6899348537,1.5898747224,1.4988321382,1.5561224522,1.7520229243,1.5342568024
1.7240223556,2.1272858484,1.7605076293,1.5487469995,1.9888868589,1.5710245078,1.5349984333,1.3630129555,1.7701070860,1.9187300354,1.8053867660,1.7940848344,2.1134244321,1.7751169924,1.6015302122,1.8766802572,1.6180132087,1.3055712968,1.6676462394,1.4748444722,1.8150403184,1.8633742247,2.0550771709,1.4670747504,1.6220297223,2.0676369391,1.3345745867,1.9300476854,1.8908129427,1.8422462560,1.2851160366,1.9517136404,1.6082735924,1.4756142741,1.9646030411,1.2906290161,1.3380041314,1.8736223823,1.9011767104,1.7886090627,1.6861861554,1.7506377588,1.9710257899,1.7260389027
