,Domain_1,Domain_2
Chain_1,4.906772228789181e+00,3.137671871461709e+00
Chain_2,5.096938893393081e+00,5.533339382594059e+00
Chain_3,3.592694787929770e+00,2.416562737387999e+00
Chain_4,2.811760113025008e+00,3.975186181173941e+00
Chain_5,4.223603588759442e+00,6.581195653048361e+00
Chain_6,4.794592722705286e+00,3.111032026192613e+00
Chain_7,5.495618210002030e+00,4.069436523097801e+00
Chain_8,4.963916908619201e+00,3.396246833296999e+00
Chain_9,5.408242685195817e+00,5.317365760224265e+00
Chain_10,5.676296408387611e+00,5.561571065673887e+00
Chain_11,5.602682847095688e+00,3.493302144839508e+00
Chain_12,3.677032987038315e+00,5.970672792260283e+00
Chain_13,3.879434841906085e+00,5.514645489145652e+00
Chain_14,4.003293074197684e+00,6.397293812409567e+00
Chain_15,4.965257327364715e+00,5.120692896716673e+00
Chain_16,4.344000695333346e+00,5.651665181760273e+00
Chain_17,7.140780200457687e+00,5.701488619804433e+00
Chain_18,4.673149048392527e+00,4.314571574708100e+00
Chain_19,4.412327144143313e+00,6.307004539361762e+00
Chain_20,4.843731311044304e+00,4.629297266868782e+00
Chain_21,4.589793418722901e+00,5.815708681133702e+00
Chain_22,4.539957529625378e+00,5.127140933783827e+00
Chain_23,2.984520060387305e+00,5.084320728926372e+00
Chain_24,5.270611201226659e+00,4.667061899428511e+00
Chain_25,6.279271663111125e+00,5.481537013997054e+00
Chain_26,5.286447097647925e+00,3.529821524993846e+00
Chain_27,7.760591844414021e+00,5.563260899265139e+00
Chain_28,2.112921487093746e+00,4.542534951878773e+00
Chain_29,6.965240409840260e+00,4.936073139600465e+00
Chain_30,3.993401035891845e+00,5.154413571611883e+00
Chain_31,4.620554432784494e+00,6.473882914277571e+00
Chain_32,3.810006157820679e+00,5.095190601564200e+00
Chain_33,5.449520459800927e+00,4.459625253725217e+00
Chain_34,4.078809774486898e+00,5.991553101578507e+00
Chain_35,5.307338288942312e+00,4.520727164449089e+00
Chain_36,5.517480207735908e+00,3.213521164158838e+00
Chain_37,6.454200436008072e+00,5.708936880122176e+00
Chain_38,5.124618021309752e+00,6.153208809090795e+00
Chain_39,4.922657089026353e+00,5.849016106918535e+00
Chain_40,5.722661187199338e+00,4.997149876729085e+00
Chain_41,4.274295193949819e+00,5.605615357031439e+00
Chain_42,5.843550262390695e+00,4.326907835323092e+00
Chain_43,4.368220028467314e+00,2.791493824054747e+00
Chain_44,5.482199707232789e+00,3.790186090566366e+00
Chain_45,6.146384910406550e+00,4.377133320570523e+00
Chain_46,4.565635994484888e+00,5.317468824547461e+00
Chain_47,3.990462171569238e+00,6.214354811822995e+00
Chain_48,4.628269225783914e+00,3.905861617769990e+00
Chain_49,3.966807353930503e+00,4.218343588916174e+00
Chain_50,5.031579794590050e+00,5.410997376859073e+00
Chain_51,4.906591166300251e+00,4.877034696730727e+00
Chain_52,5.663135396631976e+00,3.085686116311626e+00
