,Domain_1,Domain_2
0.000000000000000e+00,-1.541073138838275e+01,-6.973208579358033e+00
1.010101010101010e-01,-1.542935178146748e+01,-6.984818492122303e+00
2.020202020202020e-01,-1.548343072617086e+01,-7.018536997823708e+00
3.030303030303030e-01,-1.557022744821806e+01,-7.072655209324773e+00
4.040404040404040e-01,-1.568697347952573e+01,-7.145446972253138e+00
5.050505050505051e-01,-1.583094959579740e+01,-7.235216835995861e+00
6.060606060606061e-01,-1.599955330199690e+01,-7.340342131246143e+00
7.070707070707071e-01,-1.619034992119090e+01,-7.459304824164592e+00
8.080808080808081e-01,-1.640110466520228e+01,-7.590711512599885e+00
9.090909090909091e-01,-1.662979690335937e+01,-7.733302322728723e+00
1.010101010101010e+00,-1.687462018927000e+01,-7.885950925749611e+00
1.111111111111111e+00,-1.713397237146480e+01,-8.047658371817089e+00
1.161616161616162e+00,-1.726864816390209e+01,-8.131629434862900e+00
1.163194444444445e+00,-1.727290779565023e+01,-8.134285337602369e+00
1.163589015151515e+00,-1.727397317834186e+01,-8.134949609299220e+00
1.163687657828283e+00,-1.727423955366674e+01,-8.135115695711589e+00
1.163786300505051e+00,-1.727450594085009e+01,-8.134512472193197e+00
1.163983585858586e+00,-1.727503875078763e+01,-8.136837939655145e+00
1.164772727272728e+00,-1.727717046464645e+01,-8.146141883067456e+00
1.167929292929293e+00,-1.728570489550786e+01,-8.183390719942130e+00
1.174242424242424e+00,-1.730280999711096e+01,-8.258046563979676e+00
1.186868686868687e+00,-1.733716411499852e+01,-8.407986372966029e+00
1.212121212121212e+00,-1.740643977606818e+01,-8.710342539472382e+00
1.313131313131313e+00,-1.769077858869661e+01,-9.951349727968967e+00
1.363636363636364e+00,-1.783705277971878e+01,-1.058976880580076e+01
1.388888888888889e+00,-1.791116054832165e+01,-1.091321488306839e+01
1.401515151515151e+00,-1.794845057034695e+01,-1.107596855346889e+01
1.407828282828283e+00,-1.796715382373809e+01,-1.115759958966868e+01
1.409406565656566e+00,-1.797183566624642e+01,-1.117803366321120e+01
1.410195707070707e+00,-1.797417748949485e+01,-1.118825463676954e+01
