,Domain_1,Domain_2
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638545454545e-02,6.502638545454545e-02
2.020202020202020e-01,1.252802857373737e-01,1.252802911676768e-01
3.030303030303030e-01,1.806435284040404e-01,1.806435284040404e-01
4.040404040404040e-01,2.311365784565657e-01,2.311365694060606e-01
5.050505050505051e-01,2.769101123232324e-01,2.769101123232323e-01
6.060606060606061e-01,3.182210036105050e-01,3.182210068686869e-01
7.070707070707071e-01,3.553997304242424e-01,3.553997268040403e-01
8.080808080808081e-01,3.888169319434344e-01,3.888169373737373e-01
9.090909090909091e-01,4.188545952323233e-01,4.188545771313132e-01
1.010101010101010e+00,4.458847275442424e-01,4.458847286303030e-01
1.111111111111111e+00,4.702556031741415e-01,4.702555991919192e-01
1.212121212121212e+00,4.922842464711110e-01,4.922842569696969e-01
1.262626262626263e+00,5.025100298343435e-01,5.025100316444444e-01
1.287878787878788e+00,5.074402106440403e-01,5.074402146262625e-01
1.288667929292929e+00,5.075923771474746e-01,5.075923717171716e-01
1.288865214646465e+00,5.076304073696968e-01,5.076304019393940e-01
1.288963857323232e+00,5.076494119822220e-01,5.076494170505050e-01
1.289062500000000e+00,5.076684272706443e-01,5.076684321616162e-01
1.289457070707070e+00,5.077444364929293e-01,5.077444292525252e-01
1.291035353535353e+00,5.080482077375353e-01,5.080482058343434e-01
1.294191919191919e+00,5.086543915959596e-01,5.086543869414141e-01
1.300505050505051e+00,5.098613267652525e-01,5.098613242828283e-01
1.313131313131313e+00,5.122537448727273e-01,5.122537438383837e-01
1.414141414141414e+00,5.304135201616161e-01,5.304135134383838e-01
1.426767676767677e+00,5.325674149288082e-01,5.325674159838384e-01
1.433080808080808e+00,5.336351730553536e-01,5.336351728484848e-01
1.434659090909091e+00,5.339011656921212e-01,5.339011581414143e-01
1.435448232323232e+00,5.340340186867070e-01,5.340340123151515e-01
1.435546875000000e+00,5.340506165061819e-01,5.340506154720864e-01
1.435645517676768e+00,5.340672193939394e-01,5.340672174604639e-01
1.435842803030303e+00,5.341004106989896e-01,5.341004092329794e-01
1.436237373737374e+00,5.341667790868687e-01,5.341667778428265e-01
1.439393939393939e+00,5.346968671676767e-01,5.346968705292929e-01
1.464646464646465e+00,5.388839849115151e-01,5.388839826876767e-01
1.515151515151515e+00,5.469813986521213e-01,5.469813979797981e-01
1.616161616161616e+00,5.621466181818183e-01,5.621466161131312e-01
1.717171717171717e+00,5.760730440404039e-01,5.760730394892929e-01
1.818181818181818e+00,5.889024323232324e-01,5.889024418909091e-01
1.919191919191919e+00,6.007574538860606e-01,6.007574536791920e-01
2.020202020202020e+00,6.117443281454545e-01,6.117443281454545e-01
2.121212121212121e+00,6.219552511482830e-01,6.219552465454545e-01
2.222222222222222e+00,6.314703892686869e-01,6.314703936646463e-01
2.323232323232323e+00,6.403596727285656e-01,6.403596735353535e-01
2.424242424242424e+00,6.486842311111112e-01,6.486842336969697e-01
2.525252525252525e+00,6.564976963232324e-01,6.564976976161616e-01
2.626262626262626e+00,6.638472471789899e-01,6.638472468686867e-01
2.727272727272727e+00,6.707745169325252e-01,6.707745152775757e-01
2.828282828282828e+00,6.773163532929295e-01,6.773163520000001e-01
2.929292929292929e+00,6.835054713535355e-01,6.835054713535355e-01
3.030303030303030e+00,6.893710011216162e-01,6.893710052589899e-01
3.131313131313131e+00,6.949389526109093e-01,6.949389524040405e-01
3.232323232323232e+00,7.002326160808083e-01,7.002326184080808e-01
3.333333333333333e+00,7.052729173333334e-01,7.052729109721212e-01
3.434343434343434e+00,7.100786545777776e-01,7.100786553535352e-01
3.535353535353535e+00,7.146668380366868e-01,7.146668364024241e-01
3.636363636363636e+00,7.190528323232324e-01,7.190528253414141e-01
3.737373737373737e+00,7.232505682747475e-01,7.232505703434342e-01
3.838383838383838e+00,7.272727252040406e-01,7.272727268486465e-01
3.939393939393939e+00,7.311308437979799e-01,7.311308424016161e-01
4.040404040404041e+00,7.348354425018185e-01,7.348354456565657e-01
4.141414141414141e+00,7.383961729292929e-01,7.383961669818182e-01
4.242424242424242e+00,7.418218455660608e-01,7.418218446868686e-01
4.343434343434343e+00,7.451205800080809e-01,7.451205815595959e-01
4.444444444444445e+00,7.482998331474746e-01,7.482998321131312e-01
4.545454545454545e+00,7.513664646464648e-01,7.513664675943434e-01
4.646464646464646e+00,7.543268266666667e-01,7.543268305454547e-01
4.747474747474747e+00,7.571867791877172e-01,7.571867805220202e-01
4.848484848484849e+00,7.599517478787878e-01,7.599517478787878e-01
4.949494949494950e+00,7.626267686787880e-01,7.626267673858586e-01
5.050505050505050e+00,7.652165151030303e-01,7.652165149168483e-01
5.151515151515151e+00,7.677253365656564e-01,7.677253388929294e-01
5.252525252525253e+00,7.701572817454547e-01,7.701572779804443e-01
5.353535353535354e+00,7.725161243203232e-01,7.725161195313129e-01
5.454545454545454e+00,7.748053876363638e-01,7.748053876363634e-01
5.555555555555555e+00,7.770283713835958e-01,7.770283724282827e-01
5.656565656565657e+00,7.791881580606060e-01,7.791881573882826e-01
5.757575757575758e+00,7.812876353887674e-01,7.812876386262627e-01
5.858585858585858e+00,7.833295176404043e-01,7.833295202779798e-01
5.959595959595959e+00,7.853163488969699e-01,7.853163481729295e-01
6.060606060606061e+00,7.872505190606869e-01,7.872505230222223e-01
6.161616161616162e+00,7.891342865583840e-01,7.891342842311110e-01
6.262626262626262e+00,7.909697616161618e-01,7.909697627022222e-01
6.363636363636363e+00,7.927589529600002e-01,7.927589559595959e-01
6.464646464646465e+00,7.945037416985858e-01,7.945037446464648e-01
6.565656565656566e+00,7.962059142464648e-01,7.962059145050505e-01
6.666666666666667e+00,7.978671526012122e-01,7.978671512048485e-01
6.767676767676767e+00,7.994890472727273e-01,7.994890503757575e-01
6.868686868686869e+00,8.010731199353538e-01,8.010731205042423e-01
6.969696969696970e+00,8.026207870707071e-01,8.026207909494950e-01
7.070707070707071e+00,8.041334160808080e-01,8.041334172185857e-01
7.171717171717171e+00,8.056122830868686e-01,8.056122852900202e-01
7.272727272727272e+00,8.070586181818182e-01,8.070586246464646e-01
7.373737373737374e+00,8.084735870707070e-01,8.084735883636364e-01
7.474747474747475e+00,8.098582923636364e-01,8.098582926222223e-01
7.575757575757575e+00,8.112137774545454e-01,8.112137815402021e-01
7.676767676767676e+00,8.125410598787879e-01,8.125410595167680e-01
7.777777777777778e+00,8.138410845090910e-01,8.138410842505052e-01
7.878787878787879e+00,8.151147637915152e-01,8.151147649292930e-01
7.979797979797979e+00,8.163629690052525e-01,8.163629705050506e-01
8.080808080808081e+00,8.175865280594747e-01,8.175865279043233e-01
8.181818181818182e+00,8.187862357850506e-01,8.187862382985051e-01
8.282828282828282e+00,8.199628502626263e-01,8.199628494868684e-01
8.383838383838384e+00,8.211170949947475e-01,8.211170948395959e-01
8.484848484848484e+00,8.222496633535354e-01,8.222496632501007e-01
8.585858585858587e+00,8.233612231111112e-01,8.233612189737372e-01
8.686868686868687e+00,8.244524012347475e-01,8.244524016484851e-01
8.787878787878787e+00,8.255238180719193e-01,8.255238162101012e-01
8.888888888888889e+00,8.265760521309090e-01,8.265760525963637e-01
8.989898989898990e+00,8.276096672323233e-01,8.276096708525253e-01
9.090909090909090e+00,8.286252024242423e-01,8.286252024242426e-01
9.191919191919192e+00,8.296231718787880e-01,8.296231718787876e-01
9.292929292929292e+00,8.306040707878788e-01,8.306040707878790e-01
9.393939393939394e+00,8.315683840000002e-01,8.315683814141412e-01
9.494949494949495e+00,8.325165614545454e-01,8.325165593858588e-01
9.595959595959595e+00,8.334490512808080e-01,8.334490505050505e-01
9.696969696969697e+00,8.343662747668689e-01,8.343662731636361e-01
9.797979797979798e+00,8.352686403232323e-01,8.352686432193938e-01
9.898989898989900e+00,8.361565478787880e-01,8.361565475167679e-01
1.000000000000000e+01,8.370303736242426e-01,8.370303694868688e-01
