,Domain_1,Domain_2
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,3.500650343268692e-01,3.203316079346249e-01
2.020202020202020e-01,6.744377348935889e-01,6.171531385509160e-01
3.030303030303030e-01,9.724819285270193e-01,8.898823637100427e-01
4.040404040404040e-01,1.244307728681345e+00,1.138620157953163e+00
5.050505050505051e-01,1.490726396717505e+00,1.364108778195927e+00
6.060606060606061e-01,1.713120729597514e+00,1.567613630158959e+00
7.070707070707071e-01,1.913269882046778e+00,1.750762775199840e+00
8.080808080808081e-01,2.093169033847617e+00,1.915381819983818e+00
9.090909090909091e-01,2.254874714542075e+00,2.063352708033904e+00
1.010101010101010e+00,2.400389576036070e+00,2.196508002966345e+00
1.111111111111111e+00,2.531588460672239e+00,2.316563302095076e+00
1.212121212121212e+00,2.650178165968670e+00,2.425080304491628e+00
1.313131313131313e+00,2.757682574430303e+00,2.523453612217025e+00
1.338383838383838e+00,2.782987757081180e+00,2.546609507075944e+00
1.351010101010101e+00,2.795418447383962e+00,2.557984325268161e+00
1.354166666666667e+00,2.798503317704543e+00,2.560807220578862e+00
1.355744949494950e+00,2.800042430946556e+00,2.562215610278847e+00
1.356534090909091e+00,2.800811178769625e+00,2.562918964980258e+00
1.356928661616162e+00,2.801195299322769e+00,2.563270498769170e+00
1.357027304292930e+00,2.801291292918979e+00,2.563358388904059e+00
1.357125946969697e+00,2.801387286515190e+00,1.794397472390942e+01
1.357323232323232e+00,2.801579244473952e+00,1.794529751297303e+01
1.363636363636364e+00,2.807704281001625e+00,1.798458617416119e+01
1.388888888888889e+00,2.831850433600239e+00,1.813925336384751e+01
1.392045454545455e+00,2.834829551349203e+00,1.815833581926328e+01
1.393623737373737e+00,2.836315849111421e+00,1.816785618753176e+01
1.394412878787879e+00,2.837058140471826e+00,1.817261152052576e+01
1.394807449494949e+00,2.837429162396198e+00,1.817498767721637e+01
1.394906092171717e+00,2.837521874026801e+00,1.817558161322070e+01
1.395004734848485e+00,1.986288002985965e+01,1.817617550071720e+01
1.395202020202020e+00,1.986427751965939e+01,1.817736330424421e+01
1.401515151515151e+00,1.990600748434167e+01,1.821525363968161e+01
1.414141414141414e+00,1.998811117455023e+01,1.829038343170301e+01
1.515151515151515e+00,2.061245547516333e+01,1.886169781753666e+01
1.616161616161616e+00,2.118394174151637e+01,1.938464382408701e+01
1.717171717171717e+00,2.170874536414260e+01,1.986487229856067e+01
1.818181818181818e+00,2.219220839495403e+01,2.030727168765646e+01
1.919191919191919e+00,2.263895310052290e+01,2.071607132180461e+01
2.020202020202020e+00,2.305298278702762e+01,2.109493440754133e+01
2.121212121212121e+00,2.343777126110023e+01,2.144704024294025e+01
2.222222222222222e+00,2.379633988975526e+01,2.177515322535889e+01
2.323232323232323e+00,2.413132377565235e+01,2.208168464542795e+01
2.424242424242424e+00,2.444502662867682e+01,2.236874264833875e+01
2.525252525252525e+00,2.473946927432680e+01,2.263817609598366e+01
2.626262626262626e+00,2.501642974280621e+01,2.289161253325450e+01
2.727272727272727e+00,2.527747722879363e+01,2.313048733233489e+01
2.828282828282828e+00,2.552399978663257e+01,2.335607116739574e+01
2.929292929292929e+00,2.575723078094739e+01,2.356949215877899e+01
3.030303030303030e+00,2.597826737401017e+01,2.377175465195019e+01
3.131313131313131e+00,2.618809035395809e+01,2.396375585818282e+01
3.232323232323232e+00,2.638757686702700e+01,2.414629869094443e+01
3.333333333333333e+00,2.657751519107401e+01,2.432010429946527e+01
3.434343434343434e+00,2.675861495761414e+01,2.448582188622499e+01
3.535353535353535e+00,2.693151608757580e+01,2.464403727607576e+01
3.636363636363636e+00,2.709679790830500e+01,2.479528065609552e+01
3.737373737373737e+00,2.725498554599249e+01,2.494003227347527e+01
3.838383838383838e+00,2.740655658938914e+01,2.507872939603686e+01
3.939393939393939e+00,2.755194575549817e+01,2.521176964714665e+01
4.040404040404041e+00,2.769155012629819e+01,2.533951644322995e+01
4.141414141414141e+00,2.782573272499430e+01,2.546230187392370e+01
4.242424242424242e+00,2.795482582137065e+01,2.558043031341357e+01
4.343434343434343e+00,2.807913550159621e+01,2.569418150032482e+01
4.444444444444445e+00,2.819894236983263e+01,2.580381230326486e+01
4.545454545454545e+00,2.831450557078593e+01,2.590955999153539e+01
4.646464646464646e+00,2.842606367646083e+01,2.601164277014534e+01
4.747474747474747e+00,2.853383821875632e+01,2.611026321281021e+01
4.848484848484849e+00,2.863803328409216e+01,2.620560835112098e+01
4.949494949494950e+00,2.873883876029419e+01,2.629785176109426e+01
5.050505050505050e+00,2.883643096999025e+01,2.638715466886578e+01
5.151515151515151e+00,2.893097333129088e+01,2.647366698504845e+01
5.252525252525253e+00,2.902261870115960e+01,2.655752837475836e+01
5.353535353535354e+00,2.911150941439112e+01,2.663886902446641e+01
5.454545454545454e+00,2.919777814113196e+01,2.671781030363103e+01
5.555555555555555e+00,2.928154919070181e+01,2.679446596847719e+01
5.656565656565657e+00,2.936293854862277e+01,2.686894234033399e+01
5.757575757575758e+00,2.944205541625883e+01,2.694133935782669e+01
5.858585858585858e+00,2.951900162614264e+01,2.701174993664462e+01
5.959595959595959e+00,2.959387344471789e+01,2.708026224156264e+01
6.060606060606061e+00,2.966676073625668e+01,2.714695886608796e+01
6.161616161616162e+00,2.973774845377613e+01,2.721191716131484e+01
6.262626262626262e+00,2.980691656108199e+01,2.727521040938607e+01
6.363636363636363e+00,2.987434061744186e+01,2.733690745433420e+01
6.464646464646465e+00,2.994009121551932e+01,2.739707350638417e+01
6.565656565656566e+00,3.000423585583623e+01,2.745577003851754e+01
6.666666666666667e+00,3.006683798595979e+01,2.751305481429312e+01
6.767676767676767e+00,3.012795773251337e+01,2.756898311837665e+01
6.868686868686869e+00,3.018765171408109e+01,2.762360719477725e+01
6.969696969696970e+00,3.024597417820232e+01,2.767697564941636e+01
7.070707070707071e+00,3.030297600586811e+01,2.772913603602339e+01
7.171717171717171e+00,3.035870567233413e+01,2.778013217215439e+01
7.272727272727272e+00,3.041320961039766e+01,2.783000671617080e+01
7.373737373737374e+00,3.046653112485431e+01,2.787879925010989e+01
7.474747474747475e+00,3.051871220498498e+01,2.792654839298576e+01
7.575757575757575e+00,3.056979257075893e+01,2.797328997282855e+01
7.676767676767676e+00,3.061980980535977e+01,2.801905891706338e+01
7.777777777777778e+00,3.066879991452278e+01,2.806388794172873e+01
7.878787878787879e+00,3.071679742203155e+01,2.810780860366848e+01
7.979797979797979e+00,3.076383472267964e+01,2.815085081010341e+01
8.080808080808081e+00,3.080994326019216e+01,2.819304305047015e+01
8.181818181818182e+00,3.085515315498388e+01,2.823441299385221e+01
8.282828282828282e+00,3.089949279293907e+01,2.827498637436980e+01
8.383838383838384e+00,3.094298927405069e+01,2.831478850704970e+01
8.484848484848484e+00,3.098566900488929e+01,2.835384312863065e+01
8.585858585858587e+00,3.102755679820626e+01,2.839217322683334e+01
8.686868686868687e+00,3.106867704422915e+01,2.842980071043579e+01
8.787878787878787e+00,3.110905224118301e+01,2.846674671244731e+01
8.888888888888889e+00,3.114870468070835e+01,2.850303120668265e+01
8.989898989898990e+00,3.118765542468302e+01,2.853867356060855e+01
9.090909090909090e+00,3.122592490743566e+01,2.857369238554024e+01
9.191919191919192e+00,3.126353226726928e+01,2.860810567574473e+01
9.292929292929292e+00,3.130049656453045e+01,2.864193040361439e+01
9.393939393939394e+00,3.133683567073024e+01,2.867518286742536e+01
9.494949494949495e+00,3.137256698964114e+01,2.870787925310108e+01
9.595959595959595e+00,3.140770671476210e+01,2.874003447323427e+01
9.696969696969697e+00,3.144227144301660e+01,2.877166325851328e+01
9.797979797979798e+00,3.147627636031675e+01,2.880277985098139e+01
9.898989898989900e+00,3.150973609908404e+01,2.883339773011010e+01
1.000000000000000e+01,3.154266522547699e+01,2.886353008896071e+01
