,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638545454545e-02,6.502637133575756e-02,6.502637640404041e-02,6.502638364444442e-02
2.020202020202020e-01,1.252802857373737e-01,1.252802875474747e-01,1.252803038383838e-01,1.252802857373737e-01
3.030303030303030e-01,1.806435302141414e-01,1.806435298521212e-01,1.806435410747475e-01,1.806435284040404e-01
4.040404040404040e-01,2.311365791806061e-01,2.311365766464646e-01,2.311365820767676e-01,2.311365766464647e-01
5.050505050505051e-01,2.769101123232323e-01,2.769101086306263e-01,2.769101110923636e-01,2.769101119612121e-01
6.060606060606061e-01,3.182210014383838e-01,3.182209985422222e-01,3.182210068686868e-01,3.182210086787879e-01
7.070707070707071e-01,3.553997304242424e-01,3.553997485252525e-01,3.553997575757577e-01,3.553997485252525e-01
8.080808080808081e-01,3.888169345499797e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169319434344e-01
9.090909090909091e-01,4.188545861818181e-01,4.188545952323232e-01,4.188545952323232e-01,4.188545934222221e-01
1.010101010101010e+00,4.458847275442424e-01,4.458847305852120e-01,4.458847286303030e-01,4.458847362327272e-01
1.111111111111111e+00,4.702556053462627e-01,4.702555991919191e-01,4.702556046222223e-01,4.702555991919191e-01
1.212121212121212e+00,4.922842442989899e-01,4.922842464711111e-01,4.922842569696970e-01,4.922842569696968e-01
1.313131313131313e+00,5.122537438383837e-01,5.122537438383837e-01,5.122537438383840e-01,5.122537438383836e-01
1.363636363636364e+00,5.215455248549494e-01,5.215455299232321e-01,5.215455263030303e-01,5.215455263030302e-01
1.369949494949495e+00,5.226766493737374e-01,5.226766330828282e-01,5.226766493737373e-01,5.226766367030302e-01
1.373106060606061e+00,5.232397349443233e-01,5.232397446464646e-01,5.232397355959596e-01,5.232397355959595e-01
1.374684343434343e+00,5.235206632727273e-01,5.235206723232322e-01,5.235206723232323e-01,5.235206723232322e-01
1.375473484848485e+00,5.236609823030304e-01,5.236609823030303e-01,5.236609823030303e-01,5.236609819410100e-01
1.375572127525253e+00,5.236785131079713e-01,5.236785131313131e-01,5.236785131313131e-01,5.236785095835151e-01
1.375670770202020e+00,5.236960440948579e-01,5.236960421494949e-01,5.236960439595959e-01,5.236960439595960e-01
1.375868055555556e+00,5.237310995023958e-01,5.237311006926868e-01,5.237311019959595e-01,5.237310983757576e-01
1.376262626262626e+00,5.238011916929293e-01,5.238011927272727e-01,5.238011927272728e-01,5.238011927272727e-01
1.388888888888889e+00,5.260308074330504e-01,5.260308009373736e-01,5.260308081777777e-01,5.260308045575758e-01
1.395202020202020e+00,5.271359743999999e-01,5.271359689696969e-01,5.271359729519192e-01,5.271359744000000e-01
1.398358585858586e+00,5.276861696000000e-01,5.276861727030303e-01,5.276861672727273e-01,5.276861672727272e-01
