,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.958493726378810e-01,3.877689518595908e-01,3.282467693218671e-01,2.280279108963091e-01
2.020202020202020e-01,5.699854934822460e-01,7.470784589674264e-01,6.324025050071231e-01,4.393201197921991e-01
3.030303030303030e-01,8.218706067877123e-01,1.077223567628959e+00,9.118707189527724e-01,6.334622887475879e-01
4.040404040404040e-01,1.051597904158563e+00,1.378326425979495e+00,1.166754603165701e+00,8.105261569529713e-01
5.050505050505051e-01,1.259852941775143e+00,1.651285746032447e+00,1.397814888945248e+00,9.710401011288640e-01
6.060606060606061e-01,1.447804373320199e+00,1.897633056560390e+00,1.606348203192286e+00,1.115904948931963e+00
7.070707070707071e-01,1.616955732833480e+00,2.119339434828089e+00,1.794022799628699e+00,1.246279565673542e+00
8.080808080808081e-01,1.768993404583610e+00,2.318614701025041e+00,1.962709485671260e+00,1.363463552935596e+00
9.090909090909091e-01,1.905655169870166e+00,2.497736929856119e+00,2.114336614892037e+00,1.468796526798163e+00
1.010101010101010e+00,2.028633770678144e+00,2.658924531883209e+00,2.250782130869647e+00,1.563583109697924e+00
1.111111111111111e+00,2.139513462633269e+00,2.804254281010649e+00,2.373803804582780e+00,1.649044340488085e+00
1.161616161616162e+00,2.190872974829754e+00,2.871571113376635e+00,2.430787584632850e+00,1.688630066427570e+00
1.164772727272728e+00,2.193998417658694e+00,2.875667634255561e+00,2.434255273188434e+00,1.691039038738227e+00
1.166351010101010e+00,2.195557491786340e+00,2.877711075131706e+00,2.435985055062186e+00,1.692240693918600e+00
1.166449652777778e+00,2.195654865318569e+00,2.877838704508338e+00,2.436093096735218e+00,1.184618861203166e+01
1.166548295454546e+00,2.195752233909569e+00,2.877966344679065e+00,2.436201133656900e+00,1.184673551703895e+01
1.166745580808081e+00,2.195946918385111e+00,2.878221517079571e+00,2.436417109914851e+00,1.184778568814583e+01
1.167140151515152e+00,2.196336122628517e+00,2.878731645998686e+00,2.436848952784220e+00,1.184988576376553e+01
1.167929292929293e+00,2.197114172052591e+00,2.879751418102651e+00,2.437712199936825e+00,1.185408339505639e+01
1.174242424242424e+00,2.203316643535564e+00,2.887880990583220e+00,2.444593890450658e+00,1.188754773431479e+01
1.186868686868687e+00,2.215606879792064e+00,2.903989687451370e+00,2.458229990128184e+00,1.195385714023354e+01
1.212121212121212e+00,2.239736765463007e+00,2.935616795320745e+00,2.485002210430952e+00,1.208404508400987e+01
1.313131313131313e+00,2.330591595703341e+00,3.054699947413628e+00,2.585806301502156e+00,1.257423411557849e+01
1.316287878787879e+00,2.333292615834308e+00,3.058240173030082e+00,2.588803111560746e+00,1.258880691741998e+01
1.317866161616162e+00,2.334640130525957e+00,3.060006324405526e+00,2.590298188086795e+00,1.259607725566810e+01
1.318655303030303e+00,2.335313175511073e+00,3.060888471801097e+00,2.591044876223701e+00,1.259970817528294e+01
1.319049873737374e+00,2.335649470707036e+00,3.061329248661277e+00,2.591418024573094e+00,1.260152278071990e+01
