,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,-1.369886835023370e+01,-1.498969675388770e+01,-1.011981386656425e+01,-5.406741462020335e+00
1.010101010101010e-01,-1.371606640853939e+01,-1.500796732213804e+01,-1.013403819767636e+01,-5.417049845040945e+00
2.020202020202020e-01,-1.376601448642832e+01,-1.506103027551465e+01,-1.017534972166802e+01,-5.446988336286326e+00
3.030303030303030e-01,-1.384618116603156e+01,-1.514619633118558e+01,-1.024165472974314e+01,-5.495039623481204e+00
4.040404040404040e-01,-1.395400945108710e+01,-1.526074903279917e+01,-1.033083835748871e+01,-5.559671062859488e+00
5.050505050505051e-01,-1.408698782759069e+01,-1.540202024263829e+01,-1.044082335838339e+01,-5.639377272368308e+00
6.060606060606061e-01,-1.424271259433321e+01,-1.556745635923155e+01,-1.056962165672205e+01,-5.732717492109644e+00
7.070707070707071e-01,-1.441893504927787e+01,-1.575466844638002e+01,-1.071537337496646e+01,-5.838343867489544e+00
8.080808080808081e-01,-1.461359111046917e+01,-1.596146370129330e+01,-1.087637133288410e+01,-5.955019203761655e+00
9.090909090909091e-01,-1.482481449485134e+01,-1.618585945526897e+01,-1.105107194760866e+01,-6.081624865308990e+00
1.010101010101010e+00,-1.505093674299727e+01,-1.642608319996370e+01,-1.123809525409312e+01,-6.217160790466256e+00
1.060606060606061e+00,-1.516911551822420e+01,-1.655163187180483e+01,-1.133583966217526e+01,-6.287996233531541e+00
1.073232323232323e+00,-1.519916402006997e+01,-1.658355426641677e+01,-1.136069245846655e+01,-6.306007072936547e+00
1.073626893939394e+00,-1.520010621360763e+01,-1.658455521728163e+01,-1.136147173672072e+01,-6.306571816449633e+00
1.073725536616161e+00,-1.520034179195246e+01,-1.658480548682665e+01,-1.136166658106419e+01,-6.299801019776291e+00
1.073824179292929e+00,-1.520057738227906e+01,-1.658505576910066e+01,-1.136186143531767e+01,-6.300789471147583e+00
1.074021464646465e+00,-1.520104859887281e+01,-1.658555637183056e+01,-1.136225117355066e+01,-6.302766534774332e+00
1.074810606060606e+00,-1.520293394428007e+01,-1.658755929165596e+01,-1.136381052268513e+01,-6.310676920136939e+00
1.076388888888889e+00,-1.520670693246517e+01,-1.659156757194658e+01,-1.136693112108485e+01,-6.326507419520686e+00
1.079545454545455e+00,-1.521426208125298e+01,-1.659959387695821e+01,-1.137317990429333e+01,-6.358206903420996e+00
1.085858585858586e+00,-1.522940893249088e+01,-1.661568532021306e+01,-1.138570770385559e+01,-6.421759241097010e+00
1.111111111111111e+00,-1.529047808515886e+01,-1.668056288382975e+01,-1.143621735051716e+01,-6.677989882765594e+00
