,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
Chain_1,5.722601144470246e+00,4.640187331519842e+00,4.469909378553376e+00,4.182097756223587e+00,3.630789547114495e+00,4.843438597323579e+00
Chain_2,6.172027817987122e+00,6.458420926193642e+00,5.894741922940030e+00,4.420782787750563e+00,5.513153306969856e+00,4.955024171647124e+00
Chain_3,5.318002993886159e+00,6.106813598800882e+00,3.512205302073244e+00,4.532041836931788e+00,2.994686689712744e+00,5.951023734781820e+00
Chain_4,3.984088769882909e+00,4.338254952980730e+00,6.557406124792536e+00,4.891813195497804e+00,3.649332624824463e+00,6.058109939216484e+00
Chain_5,5.205898711552903e+00,5.267938270946704e+00,3.868733679857844e+00,6.508568461092807e+00,5.478682545844621e+00,5.309622533709825e+00
Chain_6,3.756921459548117e+00,6.744792604549184e+00,4.227721567739360e+00,5.190545787756413e+00,5.271311713611613e+00,5.434008155876860e+00
Chain_7,5.605688827796726e+00,4.340279677951588e+00,4.446773192778325e+00,5.991776731233788e+00,5.583526166016926e+00,5.092940414730450e+00
Chain_8,5.620897331569820e+00,4.162376680959721e+00,5.915919588685624e+00,6.280643798875486e+00,4.863073113491165e+00,5.531687480810614e+00
Chain_9,4.456444844471155e+00,4.435845874424228e+00,4.100574565456398e+00,3.882021532527149e+00,5.250980565543440e+00,5.598281775645322e+00
Chain_10,4.264389131146184e+00,5.371600181590810e+00,5.977792959987532e+00,4.773034442940040e+00,5.234490985080893e+00,3.541931513919814e+00
Chain_11,6.621098885994220e+00,2.738421974956085e+00,5.572631532001236e+00,5.273255567145929e+00,5.223626059398899e+00,3.491878876711185e+00
Chain_12,3.595626925911901e+00,4.604222368634786e+00,4.827059677083470e+00,4.495740494653227e+00,5.327120902696058e+00,3.799678756346593e+00
Chain_13,4.311871746311487e+00,5.386384522423067e+00,4.003670702571626e+00,5.185422830007429e+00,4.865455845357104e+00,6.390249021145852e+00
Chain_14,4.824194731466849e+00,5.025512395257093e+00,6.283884623487323e+00,4.949331359321590e+00,4.460100620428014e+00,5.257506450077650e+00
Chain_15,4.050319765567292e+00,4.712631335320424e+00,6.918586444245745e+00,4.082405234383182e+00,5.818708982616955e+00,7.060379678039769e+00
Chain_16,5.119892569040726e+00,4.632875927633153e+00,5.226862516532773e+00,6.205540910410054e+00,3.982177953644888e+00,4.963208857101958e+00
Chain_17,3.493923479062555e+00,6.584786539990446e+00,4.877857237900120e+00,4.303388297891933e+00,6.161937618891946e+00,4.968097538031596e+00
Chain_18,3.865220416659586e+00,4.419312980366620e+00,4.643013333941600e+00,5.848526264340419e+00,4.907245280499044e+00,4.352240645975496e+00
Chain_19,5.583214067541713e+00,6.731441664833456e+00,3.768794726949173e+00,5.389905992199298e+00,4.328455794878581e+00,4.084786660923067e+00
Chain_20,3.582622335767261e+00,4.578621305703884e+00,5.173515670904240e+00,4.870459359234968e+00,6.113406029004014e+00,5.175970515421304e+00
Chain_21,5.849948740943598e+00,6.732645731303772e+00,5.140057821219417e+00,3.980134726779837e+00,5.233884055426480e+00,6.098229545577150e+00
Chain_22,4.884355046411901e+00,5.461751396765904e+00,6.967253712949420e+00,5.827909291718088e+00,4.536435612235829e+00,4.918136511150370e+00
Chain_23,6.573073691318349e+00,5.401488465086322e+00,5.527576882089551e+00,5.353552084698522e+00,4.316549478115963e+00,4.521170605273917e+00
Chain_24,2.800420995414374e+00,6.329978208400878e+00,6.524738358857533e+00,6.371339753034747e+00,5.472834245220895e+00,3.819148123406495e+00
Chain_25,5.146766117547213e+00,5.186846440676847e+00,3.570978121198156e+00,5.574670788388292e+00,5.305929900750737e+00,6.019241858981798e+00
Chain_26,3.955008952493122e+00,4.770515995096430e+00,3.524321304219702e+00,4.376398816809598e+00,3.858742885881920e+00,5.190102336470230e+00
Chain_27,4.141702585266162e+00,4.186272326681800e+00,6.483777786418036e+00,4.354652281668792e+00,6.359321500925173e+00,6.280139184291386e+00
Chain_28,3.926350380437968e+00,5.129993650251066e+00,5.232227604915913e+00,3.404841261877769e+00,6.202730149385580e+00,7.443001905389076e+00
Chain_29,3.744670261328672e+00,6.902612465425642e+00,3.981067497958874e+00,4.269561239655280e+00,5.039613169984135e+00,2.419251445479170e+00
Chain_30,5.397236192163512e+00,6.262615886291194e+00,4.369233905456235e+00,5.307883976108445e+00,5.054752660200557e+00,4.189719288659036e+00
Chain_31,5.317207449932730e+00,4.143010114799303e+00,3.293055419966342e+00,5.823944867326011e+00,4.560902364050371e+00,6.486206219064857e+00
Chain_32,4.150905214166403e+00,5.252967699375667e+00,3.945837662719915e+00,4.523966907938818e+00,5.107020323874992e+00,3.473146433746811e+00
Chain_33,4.410228462180314e+00,6.113835124757849e+00,6.185365348520850e+00,6.097192912783206e+00,5.166905075476619e+00,7.549897773495712e+00
Chain_34,4.873580793607386e+00,4.539644082022115e+00,3.915884618007389e+00,4.687635636298086e+00,2.739534145385539e+00,4.654026027908084e+00
Chain_35,6.288397297612416e+00,4.452167675559989e+00,6.418438266246223e+00,5.337859448553741e+00,6.689928745857395e+00,7.030431472332791e+00
Chain_36,4.538914486364396e+00,4.792317566775994e+00,5.218209234650330e+00,4.877135609981410e+00,4.592615683991092e+00,5.698118456696116e+00
Chain_37,2.008896227634724e+00,6.516401417476079e+00,7.094479291040020e+00,5.347376404670670e+00,4.416711422361775e+00,4.711243340417097e+00
Chain_38,6.160902219435144e+00,3.521758137315405e+00,5.665403524288612e+00,5.422304315139450e+00,4.578575925638074e+00,7.607190306160565e+00
Chain_39,3.606145366756630e+00,5.510374457997606e+00,6.035809635874279e+00,4.111714975471243e+00,5.887946098199939e+00,4.850951347692123e+00
Chain_40,5.707055100288295e+00,4.534571944443180e+00,5.438583706918591e+00,5.691671436178049e+00,6.038500143055505e+00,5.368159121793264e+00
