,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638545454545e-02,6.502637640404041e-02,6.502638364444445e-02,6.502637640404041e-02,6.502638545454546e-02,6.502638002424242e-02
2.020202020202020e-01,1.252802676363637e-01,1.252802857373737e-01,1.252802857373737e-01,1.252802857373737e-01,1.252802857373738e-01,1.252802918917172e-01
3.030303030303030e-01,1.806435284040404e-01,1.806435352824242e-01,1.806435483875556e-01,1.806435284040404e-01,1.806435284040404e-01,1.806435446949495e-01
4.040404040404040e-01,2.311365766464646e-01,2.311365947474747e-01,2.311365893171717e-01,2.311365766464647e-01,2.311365893171718e-01,2.311365748363637e-01
5.050505050505051e-01,2.769101092098586e-01,2.769101139885252e-01,2.769101213737374e-01,2.769101123232324e-01,2.769101213737373e-01,2.769101032727272e-01
6.060606060606061e-01,3.182210122989899e-01,3.182210068686868e-01,3.182210068686868e-01,3.182210068686869e-01,3.182210068686869e-01,3.182210068686869e-01
7.070707070707071e-01,3.553997304242424e-01,3.553997340444445e-01,3.553997322343434e-01,3.553997373026263e-01,3.553997286141415e-01,3.553997394747475e-01
8.080808080808081e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169283232324e-01,3.888169344051717e-01,3.888169312193939e-01
9.090909090909091e-01,4.188545952323232e-01,4.188545952323233e-01,4.188545952323233e-01,4.188545952323233e-01,4.188545952323233e-01,4.188545884987475e-01
1.010101010101010e+00,4.458847250101011e-01,4.458847302955959e-01,4.458847431111112e-01,4.458847431111112e-01,4.458847431111113e-01,4.458847431111109e-01
1.111111111111111e+00,4.702556010020203e-01,4.702556096905049e-01,4.702555991919191e-01,4.702555991919192e-01,4.702556082424241e-01,4.702555991919191e-01
1.212121212121212e+00,4.922842569696970e-01,4.922842442989899e-01,4.922842479191920e-01,4.922842569696970e-01,4.922842479191918e-01,4.922842435749495e-01
1.262626262626263e+00,5.025100254901010e-01,5.025100244040404e-01,5.025100352646464e-01,5.025100258521212e-01,5.025100253452930e-01,5.025100225939395e-01
1.287878787878788e+00,5.074402164363636e-01,5.074402157123233e-01,5.074402136850101e-01,5.074402146262625e-01,5.074402200565655e-01,5.074402146262625e-01
1.291035353535353e+00,5.080482123507070e-01,5.080482004040403e-01,5.080482004040404e-01,5.080482022141414e-01,5.080482109026261e-01,5.080482056895356e-01
1.291824494949495e+00,5.081999321212121e-01,5.081999230707070e-01,5.081999230707070e-01,5.081999321212123e-01,5.081999230707073e-01,5.081999321212122e-01
1.292219065656566e+00,5.082757301010100e-01,5.082757301010100e-01,5.082757319111112e-01,5.082757301010099e-01,5.082757355313131e-01,5.082757362553536e-01
1.292317708333333e+00,5.082946909090910e-01,5.082946909090909e-01,5.082946909090910e-01,5.082946909090909e-01,5.082946818585858e-01,5.082946883749495e-01
1.292416351010101e+00,5.083136325301009e-01,5.083136245656565e-01,5.083136245656565e-01,5.083136245656565e-01,5.083136350881204e-01,5.083136426666667e-01
1.292613636363636e+00,5.083515214920403e-01,5.083515280808082e-01,5.083515190303031e-01,5.083515212024243e-01,5.083515247915960e-01,5.083515154101009e-01
1.294191919191919e+00,5.086543851313131e-01,5.086543869414142e-01,5.086543851313132e-01,5.086543851313130e-01,5.086543834867071e-01,5.086543851313130e-01
1.300505050505051e+00,5.098613333333333e-01,5.098613333333333e-01,5.098613242828283e-01,5.098613279030304e-01,5.098613274479192e-01,5.098613242828283e-01
1.313131313131313e+00,5.122537417386667e-01,5.122537420282828e-01,5.122537438383838e-01,5.122537438383838e-01,5.122537450795960e-01,5.122537384080807e-01
1.314709595959596e+00,5.125508031353535e-01,5.125508085656565e-01,5.125508085656566e-01,5.125507904646466e-01,5.125508010252929e-01,5.125507995151518e-01
1.315498737373737e+00,5.126991632859796e-01,5.126991644444444e-01,5.126991644444445e-01,5.126991616206867e-01,5.126991636686868e-01,5.126991626343436e-01
1.315893308080808e+00,5.127732971313131e-01,5.127733083539393e-01,5.127733025616162e-01,5.127733098020201e-01,5.127733088711111e-01,5.127732971313131e-01
1.316090593434343e+00,5.128103622076768e-01,5.128103589494949e-01,5.128103661898991e-01,5.128103589494949e-01,5.128103645039191e-01,5.128103638729695e-01
1.316189236111111e+00,5.128288943838384e-01,5.128289034343434e-01,5.128289034343435e-01,5.128289034343435e-01,5.128288922117172e-01,5.128288888714421e-01
1.316287878787879e+00,5.128474149753535e-01,5.128474207676768e-01,5.128474117171717e-01,5.128474117171717e-01,5.128474176853334e-01,5.128474180748074e-01
1.319444444444444e+00,5.134393328484849e-01,5.134393346585860e-01,5.134393328484849e-01,5.134393328484849e-01,5.134393352791918e-01,5.134393418989898e-01
1.325757575757576e+00,5.146179258181818e-01,5.146179167676769e-01,5.146179236460606e-01,5.146179167676768e-01,5.146179263353535e-01,5.146179278558384e-01
1.338383838383838e+00,5.169543200685252e-01,5.169543140589899e-01,5.169543176791920e-01,5.169543317979798e-01,5.169543199030303e-01,5.169543204719191e-01
1.363636363636364e+00,5.215455263030303e-01,5.215455263030303e-01,5.215455255789899e-01,5.215455353535353e-01,5.215455224242425e-01,5.215455244412122e-01
1.388888888888889e+00,5.260308077433534e-01,5.260308045575758e-01,5.260308061504647e-01,5.260308027474747e-01,5.260308096672324e-01,5.260308068848484e-01
1.392045454545455e+00,5.265841832080808e-01,5.265841868282829e-01,5.265841911725253e-01,5.265841853802021e-01,5.265841866214142e-01,5.265841870351514e-01
1.392440025252525e+00,5.266532421818182e-01,5.266532421818182e-01,5.266532421818183e-01,5.266532458020202e-01,5.266532487912727e-01,5.266532517494950e-01
1.392637310606061e+00,5.266877716686869e-01,5.266877608080808e-01,5.266877608080809e-01,5.266877734787879e-01,5.266877689793938e-01,5.266877714101010e-01
1.392735953282828e+00,5.267050291717171e-01,5.267050291717172e-01,5.267050291717174e-01,5.267050255936881e-01,5.267050268961616e-01,5.267050270513132e-01
1.392834595959596e+00,5.267222884848485e-01,5.267222884848485e-01,5.267222884848486e-01,5.267222832352404e-01,5.267222840164848e-01,5.267222871919190e-01
1.393623737373737e+00,5.268602724848485e-01,5.268602808113131e-01,5.268602905858587e-01,5.268602792701413e-01,5.268602775531313e-01,5.268602789494949e-01
