,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.275549094442481e+01,-8.799049587955157e+00,-1.609077090189991e+01,-9.256013538956427e+00,-8.285707477531588e+00,-2.011750002846561e+01
1.010101010101010e-01,-1.277190517922117e+01,-8.812176536317288e+00,-1.610995631907223e+01,-9.269520164726035e+00,-8.298407905593361e+00,-2.014003113203625e+01
2.020202020202020e-01,-1.281957680956008e+01,-8.850300947083991e+00,-1.616567625525465e+01,-9.308747267225970e+00,-8.335293579474488e+00,-2.020546789798193e+01
3.030303030303030e-01,-1.289608979018051e+01,-8.911490637501970e+00,-1.625510676910511e+01,-9.371706778197918e+00,-8.394495096829242e+00,-2.031049392644103e+01
4.040404040404040e-01,-1.299900366319637e+01,-8.993793901320620e+00,-1.637539538512186e+01,-9.456390541198211e+00,-8.474124166171306e+00,-2.045175930740715e+01
5.050505050505051e-01,-1.312592138006717e+01,-9.095293748025149e+00,-1.652374036586165e+01,-9.560826119619886e+00,-8.572326083767829e+00,-2.062597371698769e+01
6.060606060606061e-01,-1.327454879134154e+01,-9.214155478541443e+00,-1.669746024521740e+01,-9.683125748453874e+00,-8.687325763516311e+00,-2.082998807637779e+01
7.070707070707071e-01,-1.344273968245489e+01,-9.348662701693593e+00,-1.689404646751934e+01,-9.821523392468851e+00,-8.817462583156798e+00,-2.106085637053379e+01
8.080808080808081e-01,-1.362852404462745e+01,-9.497239943276110e+00,-1.711119643135221e+01,-9.974398009217161e+00,-8.961212258730976e+00,-2.131587445440099e+01
9.090909090909091e-01,-1.383012065304134e+01,-9.658462705193525e+00,-1.734682819128064e+01,-1.014028389912002e+01,-9.117196576880602e+00,-2.159259731842807e+01
1.010101010101010e+00,-1.404593709044235e+01,-9.831057484335503e+00,-1.759908048543572e+01,-1.031787072488860e+01,-9.284183413109332e+00,-2.188883912096433e+01
1.111111111111111e+00,-1.427456102948176e+01,-1.001389480080810e+01,-1.786630254607191e+01,-1.050599633810718e+01,-9.461079986540410e+00,-2.220266122191084e+01
1.212121212121212e+00,-1.451474628943643e+01,-1.020597804708098e+01,-1.814703780227124e+01,-1.070363530585871e+01,-9.646922071376979e+00,-2.253235304338875e+01
1.218434343434343e+00,-1.453011596621088e+01,-1.021826963154191e+01,-1.816500231078350e+01,-1.071628240607190e+01,-9.658814278149237e+00,-2.255345032776104e+01
1.221590909090909e+00,-1.453781603984249e+01,-1.022442760784728e+01,-1.817400237241981e+01,-1.072261849265960e+01,-9.664772169725778e+00,-2.256401988270208e+01
1.222380050505051e+00,-1.453974263999972e+01,-1.022596836689527e+01,-1.817625423662178e+01,-1.072420381586560e+01,-9.666262866490156e+00,-2.256666444263559e+01
1.222577335858586e+00,-1.454022438876616e+01,-1.022635363561227e+01,-1.817681731806731e+01,-1.072460022790576e+01,-9.666635617070851e+00,-2.256732571813739e+01
1.222675978535354e+00,-1.454046527795326e+01,-1.022654628180987e+01,-1.817709887609326e+01,-1.072479844610737e+01,-9.667801683988250e+00,-2.256765637620894e+01
1.222774621212121e+00,-1.454070617700836e+01,-1.022673893589921e+01,-1.817738044565321e+01,-1.072499667242896e+01,-9.669106444648847e+00,-2.256798704782585e+01
1.223169191919192e+00,-1.454166987188990e+01,-1.022750963115876e+01,-1.817850683921091e+01,-1.072578965889970e+01,-9.674326021661004e+00,-2.256930986972134e+01
1.224747474747475e+00,-1.454552622893944e+01,-1.023059367378903e+01,-1.818301425729519e+01,-1.072896290286436e+01,-9.695212873912762e+00,-2.257460332270082e+01
1.237373737373737e+00,-1.457646752450840e+01,-1.025533834170869e+01,-1.821917930980646e+01,-1.075442327340625e+01,-9.862797529774507e+00,-2.261707508844091e+01
1.240530303030303e+00,-1.458422783041192e+01,-1.026154448754087e+01,-1.822824977260846e+01,-1.076080892275249e+01,-9.904829001641094e+00,-2.262772732159226e+01
1.242108585858586e+00,-1.458811170979513e+01,-1.026465054059425e+01,-1.823278935956688e+01,-1.076400481375894e+01,-9.925864920721914e+00,-2.263305855327773e+01
1.242503156565657e+00,-1.458908306717221e+01,-1.026542736377781e+01,-1.823392470926388e+01,-1.076480410539474e+01,-9.931125999444152e+00,-2.263439189314636e+01
1.242601799242424e+00,-1.458932593072109e+01,-1.026562158914134e+01,-1.823420857497916e+01,-1.076500394822071e+01,-9.932441400222046e+00,-2.263472526133813e+01
1.242700441919192e+00,-1.458956880394998e+01,-1.026736363709068e+01,-1.823449245200871e+01,-1.076520379901197e+01,-9.933756853428925e+00,-2.263505864281723e+01
1.242897727272728e+00,-1.459005457944410e+01,-1.027008306016109e+01,-1.823506024000628e+01,-1.076560352448736e+01,-9.936387917109718e+00,-2.263572544563234e+01
1.243686868686869e+00,-1.459199806843714e+01,-1.028096291900276e+01,-1.823733184435238e+01,-1.076720274484957e+01,-9.946914267997139e+00,-2.263839318813352e+01
1.250000000000000e+00,-1.460756822046463e+01,-1.036812629209557e+01,-1.825553067395303e+01,-1.078001480823359e+01,-1.003124553213011e+01,-2.265976565613427e+01
1.256313131313131e+00,-1.462317774102669e+01,-1.045551005444728e+01,-1.827377551859905e+01,-1.079285926643042e+01,-1.011579002464266e+01,-2.268119216360385e+01
1.257891414141414e+00,-1.462708624461061e+01,-1.047739027472502e+01,-1.827834388701264e+01,-1.079607541971944e+01,-1.013695931364625e+01,-2.268655719585469e+01
1.258680555555555e+00,-1.462904141237472e+01,-1.048833551257383e+01,-1.828062914183334e+01,-1.079768425008128e+01,-1.014754891924863e+01,-2.268924096929511e+01
1.259075126262626e+00,-1.463001922504802e+01,-1.049380941229599e+01,-1.828177203666129e+01,-1.079848885352548e+01,-1.015284496123194e+01,-2.269058317006706e+01
1.259173768939394e+00,-1.463026370203901e+01,-1.049517802058837e+01,-1.828205778821288e+01,-1.079869002399208e+01,-1.015416910075643e+01,-2.269091875296039e+01
