,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,3.624030426741474e-01,2.931979438583159e-01,3.754741553761066e-01,1.689165182220308e-01,2.785202696220795e-01,4.118583293495154e-01
2.020202020202020e-01,6.982082920315822e-01,5.648771945021689e-01,7.233911149097947e-01,3.254357604143728e-01,5.365990854019613e-01,7.934891171260374e-01
3.030303030303030e-01,1.006756971445756e+00,8.145049233345266e-01,1.043068529452233e+00,4.692507000600989e-01,7.737303157376959e-01,1.144143893224641e+00
4.040404040404040e-01,1.288163279087777e+00,1.042173396990749e+00,1.334624567640576e+00,6.004145161685472e-01,9.900015463145752e-01,1.463952380234546e+00
5.050505050505051e-01,1.543266944065105e+00,1.248562026002504e+00,1.598929262527548e+00,7.193186536072832e-01,1.186058222461999e+00,1.753868571490525e+00
6.060606060606061e-01,1.773499503936360e+00,1.434829019854433e+00,1.837465867766487e+00,8.266303613468049e-01,1.363000565213348e+00,2.015519874535739e+00
7.070707070707071e-01,1.980702876076825e+00,1.602464491644934e+00,2.052142588403747e+00,9.232081358702457e-01,1.522244056000426e+00,2.250999277534294e+00
8.080808080808081e-01,2.166942628809075e+00,1.753139526030638e+00,2.245099587434066e+00,1.010014652382943e+00,1.665376254177059e+00,2.462654092337355e+00
8.585858585858586e-01,2.252867462529038e+00,1.822655946503680e+00,2.334123549226943e+00,1.050064322446305e+00,1.731412658896522e+00,2.560304648710170e+00
8.838383838383839e-01,2.294146854057500e+00,1.856052612974560e+00,2.376891764062376e+00,1.069304733282660e+00,1.763137446994677e+00,2.607217269067358e+00
8.964646464646464e-01,2.314380051867240e+00,1.872422068909237e+00,2.397854761142634e+00,1.078735442694062e+00,1.778687414368260e+00,2.630211538681662e+00
9.027777777777777e-01,2.324396769489789e+00,1.880525940942932e+00,2.408232718412289e+00,1.083404270821273e+00,1.786385643316238e+00,2.641595140141153e+00
9.059343434343434e-01,2.329380352174472e+00,1.884557861506745e+00,2.413396090010052e+00,1.085727101436056e+00,1.790215704783091e+00,2.647258886856244e+00
9.075126262626263e-01,2.331866004969161e+00,1.886568866078701e+00,2.415971426308929e+00,1.086885672015808e+00,1.792126051461669e+00,2.650083743843961e+00
9.083017676767677e-01,2.333107313122594e+00,1.887573156370398e+00,2.417257474421329e+00,1.087464237895223e+00,1.793080013316566e+00,2.651494412513035e+00
9.086963383838385e-01,2.333727523327335e+00,1.888074889356574e+00,2.417900088137825e+00,1.087753332753765e+00,1.793556683503617e+00,2.652199259599667e+00
9.088936237373737e-01,2.334037628429706e+00,1.888325735445719e+00,2.418221291940812e+00,1.087897859023904e+00,1.793794956573111e+00,2.652551625819700e+00
9.089922664141414e-01,2.334192529660899e+00,1.888451178894235e+00,2.418381884644677e+00,1.087970083132132e+00,1.793914081478352e+00,2.652727780268075e+00
9.090909090909091e-01,2.334347582212084e+00,1.888576516242242e+00,2.418542477348542e+00,7.616296215382443e+00,1.794033198630589e+00,2.652903820069885e+00
1.010101010101010e+00,2.484991155089581e+00,2.010452914599261e+00,2.574619427260437e+00,8.107802295773386e+00,1.909808348750825e+00,2.824104988791174e+00
1.111111111111111e+00,2.620814108649312e+00,2.120338943349381e+00,2.715341216690285e+00,8.550953126626048e+00,2.014193421257122e+00,2.978463116396960e+00
1.212121212121212e+00,2.743583520626977e+00,2.219664021202632e+00,2.842538675625104e+00,8.951513813412822e+00,2.108546265781706e+00,3.117986129719723e+00
1.262626262626263e+00,2.800573454027092e+00,2.265771115733418e+00,2.901584113313878e+00,9.137455592085701e+00,2.152345193605366e+00,3.182753242175869e+00
1.287878787878788e+00,2.828050249033033e+00,2.288000894562418e+00,2.930051926749802e+00,9.227104313692619e+00,2.173462117059947e+00,3.213979644246458e+00
1.288076073232323e+00,2.828262325009777e+00,2.288172457127469e+00,2.930271624675947e+00,9.227796248504262e+00,2.173625110011973e+00,3.214220629034871e+00
1.288174715909091e+00,2.828368364006949e+00,2.288258220944218e+00,2.930381525898281e+00,9.228142132213963e+00,2.173706608038586e+00,3.214341122575543e+00
1.288273358585859e+00,2.828474288000927e+00,2.288344015448499e+00,2.930491374861353e+00,9.228488011597799e+00,1.521651419636991e+01,3.214461616116215e+00
1.288667929292929e+00,2.828898306792822e+00,2.288686981264605e+00,2.930930556241644e+00,9.229871269581134e+00,1.521879719862482e+01,3.214943418309054e+00
1.289457070707070e+00,2.829745733043845e+00,2.289372607653813e+00,2.931808621751561e+00,9.232636245163048e+00,1.522335610448424e+01,3.215906564108467e+00
1.291035353535353e+00,2.831438697072400e+00,2.290742237910592e+00,2.933562547012577e+00,9.238159810971286e+00,1.523246385032305e+01,3.217830448129412e+00
1.294191919191919e+00,2.834817016760343e+00,2.293475467018265e+00,2.937062767682750e+00,9.249182342511629e+00,1.525063850661890e+01,3.221669846971999e+00
1.300505050505051e+00,2.841543543457938e+00,2.298917486205488e+00,2.944031874371213e+00,9.271128878332997e+00,1.528682539812012e+01,3.229314285081395e+00
1.313131313131313e+00,2.854876852299939e+00,2.309704643388570e+00,2.957846132965791e+00,9.314631675913422e+00,1.535855559868497e+01,3.244467144614508e+00
1.314709595959596e+00,2.856532444325818e+00,2.311044080704981e+00,2.959561424001583e+00,9.320033281617919e+00,1.536746200707508e+01,3.246348632335414e+00
1.314808238636364e+00,2.856635795879942e+00,1.617780431548463e+01,2.959668461416504e+00,9.320370592776150e+00,1.536801829316951e+01,3.246466099206748e+00
1.314906881313131e+00,2.856739197874064e+00,1.617843331195114e+01,2.959775634705502e+00,9.320707903182052e+00,1.536857443443783e+01,3.246583602764984e+00
1.315104166666667e+00,2.856945900982312e+00,1.617965016726816e+01,2.959989793150160e+00,9.321382482616006e+00,1.536968661215386e+01,3.246818545679378e+00
1.315498737373737e+00,2.857359254741214e+00,1.618199109871977e+01,2.960418026424663e+00,9.322731132724352e+00,1.537191032718779e+01,3.247288298518149e+00
1.316287878787879e+00,2.858185514351840e+00,1.618667032608631e+01,2.961274099984039e+00,9.325426918511491e+00,1.537635528714859e+01,3.248227322680115e+00
1.319444444444444e+00,2.861484340604302e+00,1.620535260271393e+01,2.964691955880797e+00,9.336190095903863e+00,1.539410230852622e+01,3.251976306655037e+00
1.325757575757576e+00,2.868052788350885e+00,1.624255158008452e+01,2.971497282050577e+00,9.357621084321359e+00,1.542943928317505e+01,3.259441166969603e+00
1.338383838383838e+00,2.881073924050632e+00,1.631629367697484e+01,2.984988062101126e+00,9.400105243709685e+00,1.549948971884080e+01,3.274239195381516e+00
1.363636363636364e+00,2.906661529315973e+00,1.646120290312653e+01,3.011498507069904e+00,9.483589966210143e+00,1.563714459961716e+01,3.303318585991839e+00
1.388888888888889e+00,2.931658784854877e+00,1.660276899624587e+01,3.037397359836587e+00,9.565148771047122e+00,1.577162394736535e+01,3.331727053434357e+00
1.401515151515151e+00,2.943941832076585e+00,1.667233147739855e+01,3.050123480314519e+00,9.605224924443336e+00,1.583770409949486e+01,3.345686361964736e+00
1.407828282828283e+00,2.950030545010441e+00,1.670681338362645e+01,3.056431800024543e+00,9.625090455009362e+00,1.587045971272878e+01,3.352605970091079e+00
1.408617424242424e+00,2.950789150461714e+00,1.671110970372172e+01,3.057217768832737e+00,9.627565668985005e+00,1.587454096718098e+01,3.353468084750834e+00
1.408814709595960e+00,2.950978716076537e+00,1.671218329560158e+01,3.057414169581082e+00,9.628184168257627e+00,1.587556075855169e+01,3.353683553799558e+00
1.408913352272728e+00,2.065705316393867e+01,1.671271997058693e+01,3.057512396084884e+00,9.628493437266300e+00,1.587607069687856e+01,3.353791235815793e+00
1.409011994949495e+00,2.065776767877965e+01,1.671325661814938e+01,3.057610559877575e+00,9.628802579132103e+00,1.587658045874707e+01,3.353899011383626e+00
1.409406565656566e+00,2.066062530032439e+01,1.671540288977117e+01,3.058003235952042e+00,9.630038983340865e+00,1.587861925967557e+01,3.354329681208112e+00
1.410984848484849e+00,2.067143248331800e+01,1.672398014440845e+01,3.059572424731392e+00,9.634980566775306e+00,1.588676705647972e+01,3.356050893030008e+00
1.414141414141414e+00,2.069259029671518e+01,1.674109760077339e+01,3.062703956327121e+00,9.644842203052679e+00,1.590302768217965e+01,3.359485910505651e+00
1.420454545454545e+00,2.073472446662865e+01,1.677518588749610e+01,3.068940262777813e+00,9.664481100515465e+00,1.593540943502042e+01,3.366326492754178e+00
1.422032828282828e+00,2.074522050545594e+01,1.678367748507006e+01,3.070493700616406e+00,9.669373361544876e+00,1.594347599367867e+01,3.368030576379142e+00
1.422427398989899e+00,2.074784222518690e+01,1.678579847440954e+01,3.070881746520498e+00,9.670595301371550e+00,1.594549079161715e+01,3.368456144431449e+00
1.422526041666667e+00,2.074849757310421e+01,1.678632852545847e+01,2.149631467393252e+01,9.670900679921305e+00,1.594599447171926e+01,3.368562593767808e+00
1.422624684343434e+00,2.074915270877000e+01,1.678685874463589e+01,2.149704621158659e+01,9.671206036653635e+00,1.594649800916610e+01,3.368668875720182e+00
1.422821969696970e+00,2.075046290585392e+01,1.678791874846835e+01,2.149850934960583e+01,9.671816818015603e+00,1.594750490108888e+01,3.368881627645296e+00
1.423611111111111e+00,2.075570160395609e+01,1.679215706586355e+01,2.150431500213313e+01,9.674258487715251e+00,1.595153107168871e+01,3.369732107971552e+00
1.426767676767677e+00,2.077661866724696e+01,1.680907984542260e+01,2.152598658460076e+01,9.684008027617571e+00,1.596760663380528e+01,3.373128106634985e+00
1.439393939393939e+00,2.085969330499680e+01,1.687629032312743e+01,2.161205786479661e+01,9.722729252756110e+00,1.603145264280046e+01,3.386615426718559e+00
1.452020202020202e+00,2.094182949086270e+01,1.694274171697955e+01,2.169715625108481e+01,9.761012988876784e+00,1.609457727044465e+01,3.399950404445478e+00
1.455176767676768e+00,2.096221869958357e+01,1.695923712238056e+01,2.171828081916227e+01,9.770516341817414e+00,1.611024715663108e+01,3.403260560346291e+00
1.455965909090909e+00,2.096730691499831e+01,1.696335385479471e+01,2.172355251793348e+01,9.772887987958478e+00,1.611415766326661e+01,3.404086749358183e+00
1.456064551767677e+00,2.096794268493337e+01,1.696386823822625e+01,2.172421112674599e+01,9.773184297234394e+00,1.611464621260627e+01,3.404189931267416e+00
1.456163194444445e+00,2.096857841653402e+01,1.696438263798094e+01,2.172486992787257e+01,9.773480636415215e+00,1.611513477900254e+01,2.382962499288012e+01
1.456360479797980e+00,2.096984976271455e+01,1.696541094779566e+01,2.172618700753315e+01,9.774073139109044e+00,1.611611188543486e+01,2.383118351205340e+01
1.456755050505051e+00,2.097239168031723e+01,1.696746755273429e+01,2.172882070488246e+01,9.775257978044879e+00,1.611806536331473e+01,2.383429979419121e+01
1.458333333333333e+00,2.098255030381011e+01,1.697568620919608e+01,2.173934563818337e+01,9.779992899774701e+00,1.612587261004191e+01,2.384593041038989e+01
1.464646464646465e+00,2.102304188109377e+01,1.700844543686452e+01,2.178129754248464e+01,9.798866116929062e+00,1.615699199118363e+01,2.389194773049238e+01
1.515151515151515e+00,2.133893977300534e+01,1.726401905457132e+01,2.210858929624805e+01,9.946106463184927e+00,1.639977135000081e+01,2.425095453183994e+01
1.616161616161616e+00,2.193056796573442e+01,1.774266881553796e+01,2.272155630776131e+01,1.022186512946856e+01,1.685445958148843e+01,2.492331932288906e+01
1.717171717171717e+00,2.247386833015812e+01,1.818221966220769e+01,2.328445218023478e+01,1.047509802824409e+01,1.727200626309007e+01,2.554076084544945e+01
1.818181818181818e+00,2.297437115598448e+01,1.858714549558819e+01,2.380300699303569e+01,1.070838301408157e+01,1.765666132640227e+01,2.610956476212439e+01
1.919191919191919e+00,2.343686129029187e+01,1.896131774371567e+01,2.428217825808752e+01,1.092395022743546e+01,1.801210218709892e+01,2.663516853298889e+01
2.020202020202020e+00,2.386548308096948e+01,1.930808931164265e+01,2.472625981980493e+01,1.112373152801751e+01,1.834151410481679e+01,2.712228228975694e+01
2.121212121212121e+00,2.426383351195265e+01,1.963037000747394e+01,2.513897779055169e+01,1.130940314878407e+01,1.864766128905575e+01,2.757499330631813e+01
2.222222222222222e+00,2.463503979607929e+01,1.993069017165834e+01,2.552357293213693e+01,1.148242290591396e+01,1.893294730128164e+01,2.799685646313268e+01
2.323232323232323e+00,2.498183028162021e+01,2.021125683811037e+01,2.588287110129684e+01,1.164406230050196e+01,1.919946858941847e+01,2.839097134475395e+01
2.424242424242424e+00,2.530658938345362e+01,2.047399964471678e+01,2.621934364885610e+01,1.179543304834771e+01,1.944905817602536e+01,2.876004902145310e+01
2.525252525252525e+00,2.561140978846215e+01,2.072061089525672e+01,2.653515820527615e+01,1.193751014246827e+01,1.968332402791309e+01,2.910646645589331e+01
2.626262626262626e+00,2.589813180397637e+01,2.095257986740951e+01,2.683222182589964e+01,1.207115169472079e+01,1.990368048527125e+01,2.943231617948677e+01
2.727272727272727e+00,2.616837966448475e+01,2.117122077921660e+01,2.711221695577269e+01,1.219711455124133e+01,2.011137611355967e+01,2.973944330030612e+01
2.828282828282828e+00,2.642359104468123e+01,2.137769651348201e+01,2.737663315101534e+01,1.231606882171492e+01,2.030751555922635e+01,3.002948200655102e+01
2.929292929292929e+00,2.666504227139342e+01,2.157303952773422e+01,2.762679279121317e+01,1.242860947871726e+01,2.049307966099970e+01,3.030388263460231e+01
3.030303030303030e+00,2.689386922793499e+01,2.175816961381918e+01,2.786387329587377e+01,1.253526612382929e+01,2.066894185090313e+01,3.056393651751871e+01
3.131313131313131e+00,2.711108732229172e+01,2.193390727635838e+01,2.808892583742216e+01,1.263651166194054e+01,2.083588199491768e+01,3.081079737808597e+01
3.232323232323232e+00,2.731760486179117e+01,2.210098796654027e+01,2.830289198263945e+01,1.273276979722405e+01,2.099459849697165e+01,3.104549712711371e+01
3.333333333333333e+00,2.751423737241259e+01,2.226007129980611e+01,2.850661681600796e+01,1.282442060692169e+01,2.114571797934144e+01,3.126896340435987e+01
3.434343434343434e+00,2.770172001307898e+01,2.241175174261965e+01,2.870086155426031e+01,1.291180643543179e+01,2.128980526231807e+01,3.148203056167187e+01
3.535353535353535e+00,2.788071492173831e+01,2.255656558245454e+01,2.888631259768311e+01,1.299523620418902e+01,2.142736974151811e+01,3.168545227640163e+01
3.636363636363636e+00,2.805182232225082e+01,2.269499775283197e+01,2.906359104548292e+01,1.307498943189935e+01,2.155887185388903e+01,3.187990939323076e+01
3.737373737373737e+00,2.821558515478090e+01,2.282748833287470e+01,2.923326060783805e+01,1.315131954006651e+01,2.168472985073335e+01,3.206602024832311e+01
3.838383838383838e+00,2.837249842535476e+01,2.295443707535027e+01,2.939583336277867e+01,1.322445699394753e+01,2.180532351915049e+01,3.224434663553198e+01
3.939393939393939e+00,2.852301177023006e+01,2.307620823669273e+01,2.955177544199414e+01,1.329461147583054e+01,2.192099877336582e+01,3.241539966713265e+01
4.040404040404041e+00,2.866753645696742e+01,2.319313418768452e+01,2.970151284080843e+01,1.336197461221172e+01,2.203207129088933e+01,3.257964701948530e+01
4.141414141414141e+00,2.880644816871826e+01,2.330551912175097e+01,2.984543477949571e+01,1.342672154521346e+01,2.213883011611204e+01,3.273751529016837e+01
4.242424242424242e+00,2.894009136224063e+01,2.341364137643938e+01,2.998389808051588e+01,1.348901274286553e+01,2.224153981874210e+01,3.288939607974967e+01
4.343434343434343e+00,2.906878219543655e+01,2.351775735587328e+01,3.011723061971611e+01,1.354899572945187e+01,2.234044357174751e+01,3.303564865617249e+01
4.444444444444445e+00,2.919281155576947e+01,2.361810188170024e+01,3.024573354630408e+01,1.360680607293667e+01,2.243576485546627e+01,3.317660377019333e+01
4.545454545454545e+00,2.931244768314414e+01,2.371489218573570e+01,3.036968462033343e+01,1.366256856987574e+01,2.252770975559681e+01,3.331256601251534e+01
4.646464646464646e+00,2.942793804829210e+01,2.380832813195783e+01,3.048934034906218e+01,1.371639866448889e+01,2.261646825329778e+01,3.344381661116446e+01
4.747474747474747e+00,2.953951089623557e+01,2.389859497512082e+01,3.060493755473056e+01,1.376840301666506e+01,2.270221620933689e+01,3.357061540341037e+01
4.848484848484849e+00,2.964737832312729e+01,2.398586380800931e+01,3.071669554854621e+01,1.381868016965048e+01,2.278511635647535e+01,3.369320291774815e+01
4.949494949494950e+00,2.975173680486171e+01,2.407029379607835e+01,3.082481781343229e+01,1.386732173872162e+01,2.286531965004117e+01,3.381180252696079e+01
5.050505050505050e+00,2.985276838786237e+01,2.415203227539237e+01,3.092949360734159e+01,1.391441273092315e+01,2.294296637195695e+01,3.392662158312015e+01
5.151515151515151e+00,2.995064307590266e+01,2.423121660367094e+01,3.103089839805353e+01,1.396003223626629e+01,2.301818659747065e+01,3.403785257551729e+01
5.252525252525253e+00,3.004551853755378e+01,2.430797445247326e+01,3.112919583857422e+01,1.400425379072539e+01,2.309110192779697e+01,3.414567517825017e+01
5.353535353535354e+00,3.013754208948543e+01,2.438242502653790e+01,3.122453827927713e+01,1.404714605803220e+01,2.316182545445350e+01,3.425025667212297e+01
5.454545454545454e+00,3.022685138043220e+01,2.445467966937182e+01,3.131706875584536e+01,1.408877326790499e+01,2.323046295167273e+01,3.435175350383938e+01
5.555555555555555e+00,3.031357489518995e+01,2.452484232029875e+01,3.140692032453389e+01,1.412919515962416e+01,2.329711325164744e+01,3.445031173083134e+01
5.656565656565657e+00,3.039783272130388e+01,2.459301026630367e+01,3.149421722232504e+01,1.416846788200068e+01,2.336186857790986e+01,3.454606793384564e+01
5.757575757575758e+00,3.047973796542356e+01,2.465927466110923e+01,3.157907673070278e+01,1.420664408647620e+01,2.342481582147614e+01,3.463915038863183e+01
5.858585858585858e+00,3.055939632153657e+01,2.472372133480420e+01,3.166160798832234e+01,1.424377289420890e+01,2.348603623072616e+01,3.472967930899294e+01
5.959595959595959e+00,3.063690688809649e+01,2.478643036780908e+01,3.174191413363982e+01,1.427990065686180e+01,2.354560590914641e+01,3.481776721824043e+01
6.060606060606061e+00,3.071236319699880e+01,2.484747734449455e+01,3.182009205448583e+01,1.431507093779460e+01,2.360359689299754e+01,3.490352076290270e+01
