,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,-8.485995408881074,-3.070803386537829,-12.447007475725325,-16.987218447561652,-7.164234806606281,-18.721451980394367,-7.749241842660982,-16.233378968031978,-11.982627944192537,-15.984006115364917
0.008016032064128256,-8.486182340451702,-3.0709324277609915,-12.447236751937456,-16.98749626025959,-7.1644076080813885,-18.72174833267158,-7.7494208980713974,-16.233648721915152,-11.982852256020704,-15.98427320336274
0.01603206412825651,-8.48674179554772,-3.071318626676737,-12.447922937501737,-16.98832770745215,-7.164924774151969,-18.72263526574098,-7.749956781130052,-16.23445605041567,-11.983523584009575,-15.985072553311849
0.024048096192384766,-8.487671756985222,-3.071960590797547,-12.449063558292025,-16.98970979125459,-7.165784440112378,-18.724109581656688,-7.750847559644907,-16.235798042611677,-11.984639507603816,-15.986401283058044
0.03206412825651302,-8.488970197472073,-3.0728569206580665,-12.450656127784185,-16.991639498759593,-7.16698473191282,-18.72616806644774,-7.7520912917415945,-16.23767177299453,-11.986197594118549,-15.988256496004482
0.04008016032064128,-8.490635079912188,-3.0740062100251526,-12.452698147429304,-16.99411380248947,-7.168523766440632,-18.72880749060047,-7.75368602615488,-16.240074301907892,-11.988195399104477,-15.99063528154643
0.04809619238476953,-8.492664357716885,-3.0754070461127974,-12.455187107035547,-16.997129660858885,-7.170399651808089,-18.732024609552084,-7.7556298025268875,-16.24300267599698,-11.990630466721486,-15.993534715516118
0.05611222444889779,-8.495055975123055,-3.077058009801776,-12.458120485158428,-17.00068401864772,-7.172610487646539,-18.735816164195118,-7.7579206517118715,-16.246453928667776,-11.993500330120458,-15.99695186063735
0.06412825651302605,-8.497807867517977,-3.078957675863861,-12.461495749499187,-17.004773807483804,-7.175154365406649,-18.740178881392353,-7.7605565960873415,-16.250425080555708,-11.996802511833017,-16.0008837669896
0.0721442885771543,-8.500917961770494,-3.0811046131904396,-12.465310357310994,-17.009395946335083,-7.178029368664559,-18.74510947450184,-7.763535649871285,-16.254913140003566,-12.000534524168945,-16.00532747248118
0.08016032064128256,-8.504384176568308,-3.0834973850253613,-12.469561755812645,-17.014547342010918,-7.181233573433683,-18.750604643911675,-7.76685581944526,-16.25991510354826,-12.00469386962092,-16.0102800033312
0.08817635270541081,-8.508204422761168,-3.086134549201828,-12.474247382609489,-17.020224889672107,-7.184765048481941,-18.75666107758401,-7.770515103683101,-16.265427956416023,-12.009278041276328,-16.015738374559877
0.09619238476953906,-8.512376603709601,-3.0890146583831464,-12.479364666121167,-17.02642547334918,-7.188621855654147,-18.763275451607967,-7.774511494284987,-16.271448673025702,-12.014284523235736,-16.021699590486833
0.10420841683366733,-8.516898615639,-3.092136260307143,-12.484911026015892,-17.033145966468613,-7.192802050199318,-18.77044443076096,-7.778842976116581,-16.277974217499686,-12.019710791037772,-16.028160645236994
0.11222444889779558,-8.521768347998684,-3.095497898034037,-12.490883873650855,-17.040383232386457,-7.197303681102599,-18.77816466907795,-7.78350752755298,-16.285001544182062,-12.025554312090005,-16.035118523253633
0.12024048096192384,-8.526983683825685,-3.0990981101975685,-12.497280612518423,-17.048134124929003,-7.2021247914215545,-18.786432810428163,-7.788503120827172,-16.29252759816361,-12.031812546105462,-16.042570199818144
0.1282565130260521,-8.53254250011295,-3.1029354312591635,-12.504098638697739,-17.056395488939977,-7.207263418626528,-18.795245489098832,-7.793827722382712,-16.300549315813093,-12.038482945544464,-16.050512641576116
0.13627254509018036,-8.538442668181595,-3.107008391764916,-12.511335341311307,-17.065164160833792,-7.212717594944771,-18.804599330385336,-7.799479293230312,-16.309063625314487,-12.045562956061321,-16.05894280706923
0.1442885771543086,-8.544682054056947,-3.1113155186051675,-12.518988102986208,-17.074436969154387,-7.218485347708047,-18.814490951187366,-7.8054557893080165,-16.318067447209614,-12.053050016955563,-16.067857647272536
0.15230460921843686,-8.551258518847984,-3.1158553352764438,-12.527054300319508,-17.08421073513917,-7.224564699703399,-18.824916960610476,-7.8117551618446734,-16.327557694945686,-12.060941561627269,-16.077254106136596
0.16032064128256512,-8.558169919129883,-3.1206263621455292,-12.53553130434745,-17.094482273287525,-7.2309536695267775,-18.835873960572556,-7.818375357726355,-16.337531275427377,-12.069235018036094,-16.087129121134087
0.16833667334669336,-8.565414107329302,-3.1256271167154317,-12.544416481018008,-17.105248391933415,-7.237650271939196,-18.84735854641461,-7.825314319865404,-16.347985089572774,-12.077927809163612,-16.09747962381026
0.17635270541082163,-8.572988932112052,-3.1308561138930022,-12.553707191666396,-17.116505893821547,-7.244652518225105,-18.85936730751541,-7.83256998757178,-16.35891603287283,-12.087017353478496,-16.10830254033687
0.1843687374749499,-8.580892238772826,-3.136311866257964,-12.56340079349306,-17.128251576686548,-7.25195841655266,-18.871896827909296,-7.8401402969263625,-16.37032099595378,-12.096501065404192,-16.119594792069023
