,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,-32.48085640955195,-26.285647087547545,-15.23327890352687,-13.764825263557892,-11.370771736898694,-41.55727266255512,-40.042243187945346,-9.092284832830256,-16.62098564724323,-26.84263966496727
0.10101010101010101,-32.51873133389112,-26.319404083531097,-15.259689439047811,-13.79025972441071,-11.3946148809146,-41.601180640809496,-40.085144132779405,-9.114613476634387,-16.64831858532593,-26.876766891464307
0.20202020202020202,-32.62873094182968,-26.417444050294392,-15.336393184426564,-13.864128669913667,-11.463862187398593,-41.72870196204316,-40.209740741070455,-9.179462241539094,-16.72770125143984,-26.975882113480004
0.30303030303030304,-32.80528034470566,-26.57479822559025,-15.459502718167206,-13.982688349025516,-11.575004134534865,-41.933373719876464,-40.409718333776446,-9.283544528155653,-16.85511045374301,-27.134962073770087
0.40404040404040403,-33.042748323096625,-26.786447640939073,-15.625091338812846,-14.142157182444056,-11.724495738986377,-42.20866770430608,-40.67869842597615,-9.423540528065693,-17.026482348558154,-27.348932758220027
0.5050505050505051,-33.33560382220571,-27.047462602148197,-15.829302190627674,-14.338820855245626,-11.908855073372877,-42.548171825064344,-41.010415989267415,-9.596189483536362,-17.237825377329525,-27.61281040611971
0.6060606060606061,-33.67855322110137,-27.353125034036136,-16.068443982709155,-14.569124498431735,-12.124749680443584,-42.94574924632108,-41.39887493670037,-9.798370612723804,-17.48531932877801,-27.92182519670585
0.7070707070707071,-34.06664425028952,-27.699021099629295,-16.339063451673557,-14.829742473554862,-12.369061991600999,-43.395658857168485,-41.83846583026095,-10.027164372857063,-17.76539033238607,-28.27151488416154
0.8080808080808081,-34.495331225222245,-28.081099341196616,-16.63799084958567,-15.117622179515443,-12.638930392908767,-43.892630896101714,-42.324039770897166,-10.279890917761193,-18.07475793501855,-28.65778357631384
0.9090909090909091,-34.96050406973417,-28.49569654813036,-16.962360182269844,-15.430003542909922,-12.931767496018608,-44.431900597565686,-42.85094127337939,-10.554127208227385,-18.41045604606792,-29.07692788622105
1.0101010101010102,-35.458488370502494,-28.939537805484996,-17.309609247285454,-15.764419054602735,-13.245260172454149,-45.00920825508995,-43.41500832798722,-10.847707044119131,-18.769832976756064,-29.52563698124393
