f,f_range,dr,dr_df,index
0.020202020202020204,"(np.float64(0.0), np.float64(0.04040404040404041))",0.2657011245575721,6.57610283279991,1
0.06060606060606061,"(np.float64(0.04040404040404041), np.float64(0.08080808080808081))",0.2582663042146718,6.392091029313126,2
0.10101010101010102,"(np.float64(0.08080808080808081), np.float64(0.12121212121212122))",0.25067968593962353,6.204322227005683,3
0.14141414141414144,"(np.float64(0.12121212121212122), np.float64(0.16161616161616163))",0.24297363469736122,6.013597458759689,4
0.18181818181818182,"(np.float64(0.16161616161616163), np.float64(0.20202020202020204))",0.2351821580805169,5.820758412492792,5
0.22222222222222224,"(np.float64(0.20202020202020204), np.float64(0.24242424242424243))",0.2273413578864536,5.626698607689729,6
0.26262626262626265,"(np.float64(0.24242424242424243), np.float64(0.2828282828282829))",0.21948712294399209,5.432306292863799,7
0.3030303030303031,"(np.float64(0.2828282828282829), np.float64(0.32323232323232326))",0.21165555720287954,5.238475040771271,8
0.3434343434343434,"(np.float64(0.32323232323232326), np.float64(0.36363636363636365))",0.20388135946012498,5.046063646638095,9
0.38383838383838387,"(np.float64(0.36363636363636365), np.float64(0.4040404040404041))",0.19619742250077055,4.855886206894066,10
0.4242424242424243,"(np.float64(0.4040404040404041), np.float64(0.4444444444444445))",0.1886342942000092,4.66869878145023,11
0.46464646464646464,"(np.float64(0.4444444444444445), np.float64(0.48484848484848486))",0.18121908567567502,4.4851723704729585,12
0.5050505050505051,"(np.float64(0.48484848484848486), np.float64(0.5252525252525253))",0.1739765924137897,4.3059206622412916,13
0.5454545454545455,"(np.float64(0.5252525252525253), np.float64(0.5656565656565657))",0.16692690483262052,4.131440894607354,14
0.5858585858585859,"(np.float64(0.5656565656565657), np.float64(0.6060606060606061))",0.16008742287256528,3.962163716095998,15
0.6262626262626263,"(np.float64(0.6060606060606061), np.float64(0.6464646464646465))",0.15347160193638132,3.798422147925434,16
0.6666666666666667,"(np.float64(0.6464646464646465), np.float64(0.686868686868687))",0.14708940993920283,3.6404628959952667,17
0.7070707070707072,"(np.float64(0.686868686868687), np.float64(0.7272727272727273))",0.14094780272888707,3.4884581175399614,18
0.7474747474747475,"(np.float64(0.7272727272727273), np.float64(0.7676767676767677))",0.13505074285831098,3.3425058857431935,19
0.787878787878788,"(np.float64(0.7676767676767677), np.float64(0.8080808080808082))",0.12939979849239647,3.2026450126868093,20
0.8282828282828283,"(np.float64(0.8080808080808082), np.float64(0.8484848484848485))",0.12399365602647316,3.0688429866552163,21
0.8686868686868687,"(np.float64(0.8484848484848485), np.float64(0.888888888888889))",0.11882985488474063,2.941038908397328,22
0.9090909090909092,"(np.float64(0.888888888888889), np.float64(0.9292929292929294))",0.1139038653537554,2.8191206675054437,23
0.9494949494949496,"(np.float64(0.9292929292929294), np.float64(0.9696969696969697))",0.10920970362631799,2.702940164751375,24
0.98989898989899,"(np.float64(0.9696969696969697), np.float64(1.0101010101010102))",0.10474084745050494,2.5923359743999947,25
1.0303030303030303,"(np.float64(1.0101010101010102), np.float64(1.0505050505050506))",0.10048959373891098,2.487117445038044,26
1.070707070707071,"(np.float64(1.0505050505050506), np.float64(1.090909090909091))",0.09644782810930597,2.3870837457053202,27
1.1111111111111112,"(np.float64(1.090909090909091), np.float64(1.1313131313131315))",0.09260683771137401,2.2920192333565046,28
1.1515151515151516,"(np.float64(1.1313131313131315), np.float64(1.1717171717171717))",0.08895814302626714,2.201714039900122,29
1.191919191919192,"(np.float64(1.1717171717171717), np.float64(1.2121212121212122))",0.08549276559468488,2.115945948468449,30
1.2323232323232323,"(np.float64(1.2121212121212122), np.float64(1.2525252525252526))",0.08220192367083357,2.034497610853129,31
1.272727272727273,"(np.float64(1.2525252525252526), np.float64(1.292929292929293))",0.07907689675956497,1.9571531947992313,32
1.3131313131313131,"(np.float64(1.292929292929293), np.float64(1.3333333333333335))",0.07610937186531075,1.8837069536664393,33
1.3535353535353538,"(np.float64(1.3333333333333335), np.float64(1.373737373737374))",0.07329092082404642,1.8139502903951472,34
1.393939393939394,"(np.float64(1.373737373737374), np.float64(1.4141414141414144))",0.07061354142028975,1.7476851501521697,35
1.4343434343434345,"(np.float64(1.4141414141414144), np.float64(1.4545454545454546))",0.06806980936153906,1.6847277816980994,36
1.474747474747475,"(np.float64(1.4545454545454546), np.float64(1.494949494949495))",0.06565207917702143,1.6248889596312788,37
