group,DeltaE1,DeltaE2
1,1.0020014636987487,7.3524634824190365
2,7.133957984817291,6.382229951686968
3,8.392684530907442,8.850977242923907
4,4.641175618846226,7.536312987569088
5,5.261941254079364,7.299712251392414
6,9.5054139667573,2.325223770745141
7,4.284360104688146,5.167717728865811
8,3.00164835945502,6.269560811133445
9,2.3350958218014273,7.235145953184588
10,3.6985705597673495,7.520929277080612
11,1.3056885070196795,0.13203615740236074
12,9.778569428664255,2.932630997995534
13,4.032560295955081,3.608362913017193
14,0.8106103507890667,0.6935497872519782
15,8.26093321824132,2.2343939495106193
16,4.633778940816778,5.2065691521001565
17,7.047228808829651,3.7969709340039826
18,9.652367833303655,7.390162500898878
19,7.479746691731519,1.9755935093499728
20,9.761974165982263,4.084723623432219
21,0.9899606872375628,2.192649727122909
22,7.123589127513583,4.545436220716765
23,2.1360867753239794,4.921487647792325
24,6.41971507564523,2.358202341239801
25,8.473820531538076,8.151758542430414
26,8.227482506361223,0.9589768562917991
27,7.964907988892156,8.163589152561968
28,3.999423817603863,3.7999605710285524
29,6.298664925728722,4.8303329892358065
30,4.814589018671514,3.8097702174408656
31,1.2159118314189543,3.1224773834260255
32,4.559110591250266,7.256102642959781
33,8.579506017768178,2.8736031128385098
34,2.413413612374169,0.9987733737113178
35,1.1552680777413489,5.8091814556972174
36,7.790988856519028,2.1706865394656734
37,1.78902332962938,6.218488977973166
38,0.6455137182614434,6.930387828427027
39,8.284465139354243,7.77195795333963
40,5.272267201525267,3.7997686081175885
41,2.8614581838708966,2.043298931824892
42,7.694298754321162,7.7068795212947565
43,3.373225388294178,3.2892477967065212
44,7.52401617175483,4.750117636878246
45,1.2371606345059143,7.092071948571151
46,0.3727760036153658,4.793639567311182
47,5.959582559125584,7.616013588497606
48,9.558147087228821,2.9512059194650266
49,5.617670507732066,6.706742399986517
50,4.192471053478503,3.0789042198884298
51,6.044162039131324,6.896035037087413
52,4.3951159045758015,6.1278984502351435
53,9.140626173688384,9.295100600878184
54,6.155329060939319,2.3584489794561336
55,7.17533799492624,0.9493299908625721
56,0.42775699802388534,1.527507737439774
57,6.6551247665167335,5.062265659927085
58,5.203980595448839,3.965199412562936
59,0.42679274515733745,7.922675662371349
60,1.0198777335633364,1.5804794041359709
61,1.8165507652860677,4.842027959160269
62,1.559658321255288,8.63822556570183
63,9.17684112511327,6.645999562567706
64,8.508162092235509,9.494660717008554
65,6.749856190923237,5.7504460018534
66,0.9425689572256388,6.016342605196525
67,5.4754960481604185,4.6761860825945325
68,1.7387891455566669,5.178991678087117
69,6.448125828318865,4.783585434669364
70,0.2856268840867351,3.0863734450543405
71,1.796124551161678,2.0205322079088495
72,1.9867521136090445,2.6045349496177312
73,6.329774567631266,3.7080123423208686
74,0.9562534184543345,1.5092716505608808
75,6.084445244339387,3.6089658866057364
76,3.1619557541657968,1.8236373748354575
77,7.856924303180083,5.77407896332213
78,8.263858573422285,9.11680913607544
79,5.683877875125315,2.421722002290059
80,4.241955578750474,4.191149935674931
81,5.827328648651799,8.94481853175601
82,1.3475991364406181,9.069552147953305
83,6.76337602188357,7.641729111279912
84,6.17163999645984,0.794306593531446
85,5.312717761272196,7.5107487912090285
86,4.110135402593459,1.5258694794425147
87,8.401526062976599,9.355429399874609
88,7.912556076250704,1.4256057675011014
89,4.261768209439878,5.589996475844666
90,4.095912096350393,9.257257273018851
91,1.4363292514822024,9.398482669354408
92,3.6793462125655187,7.009494823712515
93,7.130148082084876,8.468190554827647
94,4.474236300319523,0.9368093692930399
95,1.1217092673938538,1.8410824618160326
96,4.97068960761779,1.7491049469632154
97,4.673237385652019,9.584716911252457
98,4.053098523882318,9.167310333008682
99,0.7454092754590498,4.2771394020487286
100,9.503131176259878,0.688602326797783
