group,DeltaE1,DeltaE2
1,24.0802,16.3512
2,23.5741,12.7986
3,24.4016,15.0005
4,17.24,23.6622
5,20.8017,8.97131
6,16.2538,8.99002
7,16.7333,16.0782
8,14.7631,7.89811
9,13.305,11.7452
10,18.9221,17.4344
11,24.5059,9.94803
12,19.8196,7.08541
13,9.27918,7.82418
14,19.3624,19.7363
15,16.1075,5.14881
16,9.14025,6.32275
17,7.89996,18.8534
18,18.2187,18.8885
19,8.16055,13.412
20,8.08309,15.3734
21,17.9061,11.4739
22,14.2559,15.1941
23,14.0499,11.5309
24,17.6306,10.4708
25,7.73413,9.10973
26,10.8177,7.35
27,13.7465,15.4715
28,13.8966,9.48365
29,10.0113,7.80764
30,14.1607,7.91787
31,18.0077,24.9965
32,22.24,15.95
33,10.2162,15.8081
34,8.52221,12.7576
35,11.0869,7.97491
36,12.9375,16.0919
37,10.4745,7.13255
38,6.48892,10.5194
39,19.199,13.4927
40,21.2512,6.80356
41,21.9755,20.1089
42,9.40339,5.47508
43,15.677,24.1503
44,14.494,8.70261
45,9.45943,6.9201
46,16.7112,18.1924
47,17.5355,13.3924
48,19.0466,16.0435
49,6.40417,24.1024
50,24.7264,23.0878
51,6.45745,13.1805
52,7.71143,22.1966
53,16.9529,12.8427
54,12.1573,24.2426
55,6.19778,5.14696
56,15.4292,22.3797
57,18.5989,15.684
58,20.5507,9.24483
59,9.879,10.9805
60,10.5103,5.76146
61,22.8183,20.0638
62,13.0853,16.9857
63,10.063,7.38198
64,6.38067,23.3187
65,13.3773,12.6606
66,11.8434,6.68062
67,22.3154,13.6566
68,24.5147,8.2062
69,19.7603,10.9523
70,10.7477,24.2562
71,13.0699,6.01603
72,11.5699,22.8503
73,19.3051,16.6838
74,6.99516,23.4351
75,24.0776,15.7533
76,12.8262,16.3686
77,6.71971,19.6658
78,16.6673,21.4667
79,12.2275,19.9001
80,24.6154,5.29549
81,11.2041,19.0239
82,12.045,8.42124
83,24.6728,13.5329
84,20.975,15.7195
85,7.92269,24.341
86,19.6007,15.9638
87,19.3743,12.6364
88,15.0047,22.8794
89,20.2321,20.1251
90,10.6312,8.14883
91,21.1426,7.35327
92,20.3486,17.3629
93,17.3221,9.63848
94,7.42349,17.6673
95,13.2548,12.4113
96,23.1945,23.864
97,23.8354,17.6692
98,11.4859,13.8421
99,20.9049,14.1802
100,10.7253,7.34421
