group,xi_f1,xi_f2
1,5.845984588631971,4.252699058927711
2,4.89715072141631,4.426891564514456
3,6.102390396010117,5.910521738715643
4,5.003985013909614,5.026583622181581
5,4.7101702296017365,3.399043986370024
6,3.0674369358543485,6.399083821978361
7,7.105589569978514,5.5203968999801285
8,2.831558857136705,4.615880705467843
9,5.643850630013541,5.942412023878068
10,5.768341325013197,4.932120772477584
11,4.970247380851024,5.209800821888871
12,6.245386212029905,5.080055884688
13,4.316235877747042,5.972909666057464
14,5.294153518519595,4.080689468504391
15,4.026378320416723,4.372482337091709
16,3.731162736972413,4.840997081453419
17,3.9600348026770673,7.1436598115296395
18,4.184340567435121,5.000800696941375
19,3.9989084410798355,5.056752769391155
20,4.891110068404621,6.415338118006679
21,5.067591713712396,5.058921266368436
22,4.975143261550346,5.384376516033594
23,4.129959350452398,6.571842442605606
24,5.890500764491087,6.208629266462735
25,7.180763226940098,5.435605751819034
26,7.051004181658229,3.999545365057683
27,4.85942741694423,5.4366136774115805
28,5.2390852354972735,4.944807013308969
29,2.9878262302477245,6.032995998928357
30,6.1504227282439405,6.42211353440182
31,5.0719122036845805,5.2821482584189985
32,6.438113690673174,5.8130183126090245
33,5.434124038737047,6.813445438491791
34,4.836722279419874,3.1533349823886487
35,6.3054676922769435,5.307633281680192
36,6.2200222947502635,3.735738154206925
37,5.390385778393981,6.183196853523251
38,5.296836487813404,5.439417269645899
39,3.6170048850860086,6.4915459109377665
40,6.547046171163993,4.964218073719488
41,6.176038033741197,4.375060545201186
42,4.179574120196877,6.835744583513655
43,5.493277856774176,4.753100363147741
44,5.164319678886303,6.698752594295273
45,4.447401037933426,3.3662190842262634
46,6.004738809536763,5.717675882485419
47,5.154785146324111,4.605893781359816
48,4.233090696636435,3.3435231786073696
49,4.892976373549548,3.2780667188055506
50,5.644570838166236,6.9937098070821415
51,4.454377373555939,6.084918561074519
52,4.8504289412,4.274869943135024
53,4.701765354523782,3.7520236000706055
54,5.414144272838,4.383505631939967
55,6.526936379629696,4.769906265747259
56,4.163897151792659,5.635277345501475
57,4.966909593685724,5.686324412537957
58,6.983134228714309,6.109878330859816
59,6.043719403113733,4.970598977981731
60,3.921860601081087,2.980073624760107
61,5.591638993813138,3.847045911548237
62,4.354002514321525,4.6260983300301435
63,6.519679088068141,5.519800306028119
64,3.3199973433089403,6.237773934132083
65,5.10115932337847,6.961519732718124
66,5.548658290545316,5.274300066083695
67,6.145918186011231,4.5545520770753205
68,5.378591544112158,5.426336773332331
69,4.453721642646271,5.101782609321977
70,4.425027760950857,3.3809734201987682
71,3.130768567095545,4.707005416195333
72,5.224994602988565,3.0277609486402133
73,3.5037992665014075,5.479625496679775
74,4.594319777650645,5.626534141329462
75,5.017617295832176,4.163890699721254
76,4.6302460985290335,4.417913100144883
77,6.022033000550742,5.894821453852959
78,3.867571640118243,3.218208828239626
79,6.314157924346097,4.605018204205598
80,3.652142051590366,3.938293801482839
81,7.073756355002585,5.941829891219992
82,4.0197705666259,4.278347546711351
83,7.684659470525765,5.0821224599362855
84,4.526344532497745,5.225019563852879
85,2.5324377055137086,5.1326597691800115
86,5.437170300716485,5.204404634547207
87,5.388750899642957,4.512771529872342
88,3.737338941324775,4.757381818941791
89,6.135456485945525,5.261977938354375
90,4.772764121423996,4.659455107839554
91,4.933311660696707,5.275656599211834
92,4.859746373029236,5.356290435047126
93,3.590661503634699,6.0530732368938915
94,5.004959272076836,5.237817088701043
95,4.9379551160262904,3.4634721825154653
96,4.348373784506321,4.124604032285307
97,4.484846281489407,4.034106496401556
98,6.361765773121176,2.414128123267849
99,5.3674782314930445,3.7898776436721873
100,5.192679730463579,5.16415426550893
