r2,r1,n,free_energy,tension
0.00000000,0.00000000,0.00000000,11.92968466,-4999999999999999379243008.00000000
0.20000000,0.17800000,0.00000000,11.93013523,0.00450573
0.40000000,0.35600000,0.00000000,11.93148699,0.00901207
0.60000000,0.53400000,0.00000000,11.93374014,0.01351965
0.80000000,0.71200000,0.00000000,11.93689498,0.01802908
1.00000000,0.89000000,0.00000000,11.94095194,0.02254099
1.20000000,1.06800000,0.00000000,11.94591158,0.02705598
1.40000000,1.24600000,0.00000000,11.95177458,0.03157469
1.60000000,1.42400000,0.00000000,11.95854174,0.03609773
1.80000000,1.60200000,0.00000000,11.96621400,0.04062573
2.00000000,1.78000000,0.00000000,11.97479240,0.04515931
2.20000000,1.95800000,0.00000000,11.98427814,0.04969911
2.40000000,2.13600000,0.00000000,11.99467250,0.05424575
2.60000000,2.31400000,0.00000000,12.00597693,0.05879986
2.80000000,2.49200000,0.00000000,12.01819299,0.06336208
3.00000000,2.67000000,0.00000000,12.03132235,0.06793306
3.20000000,2.84800000,0.00000000,12.04536684,0.07251342
3.40000000,3.02600000,0.00000000,12.06032839,0.07710382
3.60000000,3.20400000,0.00000000,12.07620908,0.08170491
3.80000000,3.38200000,0.00000000,12.09301111,0.08631734
4.00000000,3.56000000,0.00000000,12.11073682,0.09094177
4.20000000,3.73800000,0.00000000,12.12938866,0.09557886
4.40000000,3.91600000,0.00000000,12.14896925,0.10022928
4.60000000,4.09400000,0.00000000,12.16948131,0.10489370
4.80000000,4.27200000,0.00000000,12.19092771,0.10957281
5.00000000,4.45000000,0.00000000,12.21331146,0.11426727
5.20000000,4.62800000,0.00000000,12.23663569,0.11897779
5.40000000,4.80600000,0.00000000,12.26090369,0.12370506
5.60000000,4.98400000,0.00000000,12.28611888,0.12844978
5.80000000,5.16200000,0.00000000,12.31228481,0.13321267
6.00000000,5.34000000,0.00000000,12.33940520,0.13799443
6.20000000,5.51800000,0.00000000,12.36748389,0.14279580
6.40000000,5.63200000,0.00000000,12.39651553,0.14754190
6.60000000,5.80800000,0.00000000,12.42650663,0.15237259
6.80000000,5.98400000,0.00000000,12.45746595,0.15722416
7.00000000,6.16000000,0.00000000,12.48939774,0.16209734
7.20000000,6.33600000,0.00000000,12.52230638,0.16699286
7.40000000,6.51200000,0.00000000,12.55619642,0.17191146
7.60000000,6.68800000,0.00000000,12.59107255,0.17685388
7.80000000,6.86400000,0.00000000,12.62693961,0.18182089
8.00000000,7.04000000,0.00000000,12.66380260,0.18681326
8.20000000,7.21600000,0.00000000,12.70166665,0.19183175
8.40000000,7.39200000,0.00000000,12.74053709,0.19687717
8.60000000,7.56800000,0.00000000,12.78041937,0.20195031
8.80000000,7.74400000,0.00000000,12.82131912,0.20705198
9.00000000,7.92000000,0.00000000,12.86324212,0.21218300
9.20000000,8.09600000,0.00000000,12.90619433,0.21734422
9.40000000,8.27200000,0.00000000,12.95018187,0.22253646
9.60000000,8.44800000,0.00000000,12.99521104,0.22776061
9.80000000,8.62400000,0.00000000,13.04128830,0.23301752
10.00000000,8.80000000,0.00000000,13.08842029,0.23830808
10.20000000,8.97600000,0.00000000,13.13661384,0.24363320
10.40000000,9.15200000,0.00000000,13.18587594,0.24899380
10.60000000,9.32800000,0.00000000,13.23621378,0.25439079
10.80000000,9.50400000,0.00000000,13.28763475,0.25982513
11.00000000,9.68000000,0.00000000,13.34014639,0.26529777
11.20000000,9.85600000,0.00000000,13.39375647,0.27080971
11.40000000,10.03200000,0.00000000,13.44847296,0.27636192
11.60000000,10.20800000,0.00000000,13.50430400,0.28195543
11.80000000,10.38400000,0.00000000,13.56125795,0.28759127
12.00000000,10.56000000,0.00000000,13.61934340,0.29327048
12.20000000,10.73600000,0.00000000,13.67856911,0.29899413
12.40000000,10.91200000,0.00000000,13.73894408,0.30476332
12.60000000,11.08800000,0.00000000,13.80047754,0.31057914
12.80000000,11.26400000,0.00000000,13.86317893,0.31644274
13.00000000,11.44000000,0.00000000,13.92705790,0.32235526
13.20000000,11.61600000,0.00000000,13.99212437,0.32831787
13.40000000,11.79200000,0.00000000,14.05838847,0.33433178
13.60000000,11.96800000,0.00000000,14.12586058,0.34039820
13.80000000,12.14400000,0.00000000,14.19455134,0.34651839
14.00000000,12.32000000,0.00000000,14.26447161,0.35269360
14.20000000,12.35400000,0.00000000,14.33557393,0.35803197
14.40000000,12.52800000,0.00000000,14.40780141,0.36425209
14.60000000,12.70200000,0.00000000,14.48127851,0.37052833
14.80000000,12.87600000,0.00000000,14.55601657,0.37686197
15.00000000,13.05000000,0.00000000,14.63202721,0.38325436
15.20000000,13.22400000,0.00000000,14.70932232,0.38970684
15.40000000,13.39800000,0.00000000,14.78791405,0.39622079
15.60000000,13.57200000,0.00000000,14.86781483,0.40279763
15.80000000,13.74600000,0.00000000,14.94903739,0.40943879
16.00000000,13.92000000,0.00000000,15.03159473,0.41614575
16.20000000,14.09400000,0.00000000,15.11550017,0.42292002
16.40000000,14.26800000,0.00000000,15.20076733,0.42976313
16.60000000,14.44200000,0.00000000,15.28741012,0.43667667
16.80000000,14.61600000,0.00000000,15.37544280,0.44366223
17.00000000,14.79000000,0.00000000,15.46487992,0.45072146
17.20000000,14.96400000,0.00000000,15.55573640,0.45785606
17.40000000,15.13800000,0.00000000,15.64802749,0.46506774
17.60000000,15.31200000,0.00000000,15.74176876,0.47235826
17.80000000,15.48600000,0.00000000,15.83697616,0.47972943
18.00000000,15.66000000,0.00000000,15.93366603,0.48718309
18.20000000,15.83400000,0.00000000,16.03185503,0.49472115
18.40000000,16.00800000,0.00000000,16.13156024,0.50234553
18.60000000,16.18200000,0.00000000,16.23279913,0.51005822
18.80000000,16.16800000,0.00000000,16.33558515,0.51559466
19.00000000,16.34000000,0.00000000,16.43947802,0.52334875
19.20000000,16.51200000,0.00000000,16.54493061,0.53119225
19.40000000,16.68400000,0.00000000,16.65196101,0.53912717
19.60000000,16.85600000,0.00000000,16.76058772,0.54715562
19.80000000,17.02800000,0.00000000,16.87082964,0.55527973
20.00000000,17.20000000,0.00000000,16.98270614,0.56350170
20.20000000,17.37200000,0.00000000,17.09623699,0.57182377
20.40000000,17.54400000,0.00000000,17.21144247,0.58024824
20.60000000,17.71600000,0.00000000,17.32834328,0.58877749
20.80000000,17.88800000,0.00000000,17.44696061,0.59741393
21.00000000,18.06000000,0.00000000,17.56731616,0.60616006
21.20000000,18.23200000,0.00000000,17.68943212,0.61501842
21.40000000,18.40400000,0.00000000,17.81333119,0.62399164
21.60000000,18.57600000,0.00000000,17.93903661,0.63308240
21.80000000,18.74800000,0.00000000,18.06657217,0.64229346
22.00000000,18.92000000,0.00000000,18.19596220,0.65162767
22.20000000,19.09200000,0.00000000,18.32723164,0.66108792
22.40000000,19.26400000,0.00000000,18.46040597,0.67067722
22.60000000,19.21000000,0.00000000,18.59474030,0.67596675
22.80000000,19.38000000,0.00000000,18.73089301,0.68558180
23.00000000,19.55000000,0.00000000,18.86898169,0.69532697
23.20000000,19.72000000,0.00000000,19.00903268,0.70520533
23.40000000,19.89000000,0.00000000,19.15107291,0.71522004
23.60000000,20.06000000,0.00000000,19.29513000,0.72537435
23.80000000,20.23000000,0.00000000,19.44123219,0.73567161
24.00000000,20.40000000,0.00000000,19.58940840,0.74611523
24.20000000,20.57000000,0.00000000,19.73968827,0.75670875
24.40000000,20.74000000,0.00000000,19.89210214,0.76745580
24.60000000,20.91000000,0.00000000,20.04668107,0.77836011
24.80000000,21.08000000,0.00000000,20.20345692,0.78942551
25.00000000,21.25000000,0.00000000,20.36246228,0.80065597
25.20000000,21.42000000,0.00000000,20.52373058,0.81205556
25.40000000,21.59000000,0.00000000,20.68729606,0.82362845
25.60000000,21.50400000,0.00000000,20.85249068,0.82840918
25.80000000,21.67200000,0.00000000,21.01932713,0.83998397
26.00000000,21.84000000,0.00000000,21.18849589,0.85173305
26.20000000,22.00800000,0.00000000,21.36003225,0.86366071
26.40000000,22.17600000,0.00000000,21.53397237,0.87577139
26.60000000,22.34400000,0.00000000,21.71035331,0.88806965
26.80000000,22.51200000,0.00000000,21.88921305,0.90056021
27.00000000,22.68000000,0.00000000,22.07059054,0.91324790
27.20000000,22.84800000,0.00000000,22.25452569,0.92613773
27.40000000,23.01600000,0.00000000,22.44105945,0.93923484
27.60000000,23.18400000,0.00000000,22.63023380,0.95254454
27.80000000,23.35200000,0.00000000,22.82209180,0.96607230
28.00000000,23.52000000,0.00000000,23.01667763,0.97982378
28.20000000,23.68800000,0.00000000,23.21403661,0.99380478
28.40000000,23.57200000,0.00000000,23.41261062,0.99757365
28.60000000,23.73800000,0.00000000,23.61351612,1.01151929
28.80000000,23.90400000,0.00000000,23.81723368,1.02569517
29.00000000,24.07000000,0.00000000,24.02380994,1.04010729
29.20000000,24.23600000,0.00000000,24.23329276,1.05476181
29.40000000,24.40200000,0.00000000,24.44573125,1.06966512
29.60000000,24.56800000,0.00000000,24.66117583,1.08482379
29.80000000,24.73400000,0.00000000,24.87967824,1.10024461
30.00000000,24.90000000,0.00000000,25.10129162,1.11593461
30.20000000,25.06600000,0.00000000,25.32607051,1.13190103
30.40000000,25.23200000,0.00000000,25.55407096,1.14815137
30.60000000,25.39800000,0.00000000,25.78535050,1.16469336
30.80000000,25.25600000,0.00000000,26.01972184,1.16731531
31.00000000,25.42000000,0.00000000,26.25482633,1.18377753
31.20000000,25.58400000,0.00000000,26.49325232,1.20053170
31.40000000,25.74800000,0.00000000,26.73505900,1.21758576
31.60000000,25.91200000,0.00000000,26.98030716,1.23494792
31.80000000,26.07600000,0.00000000,27.22905927,1.25262669
32.00000000,26.24000000,0.00000000,27.48137953,1.27063085
32.20000000,26.40400000,0.00000000,27.73733391,1.28896949
32.40000000,26.56800000,0.00000000,27.99699025,1.30765201
32.60000000,26.73200000,0.00000000,28.26041829,1.32668815
32.80000000,26.89600000,0.00000000,28.52768976,1.34608799
33.00000000,27.06000000,0.00000000,28.79887843,1.36586196
33.20000000,26.89200000,0.00000000,29.07404398,1.36671369
33.40000000,27.05400000,0.00000000,29.34934378,1.38634570
33.60000000,27.21600000,0.00000000,29.62860718,1.40635146
33.80000000,27.37800000,0.00000000,29.91190999,1.42674169
34.00000000,27.54000000,0.00000000,30.19933022,1.44752746
34.20000000,27.70200000,0.00000000,30.49094811,1.46872026
34.40000000,27.86400000,0.00000000,30.78684626,1.49033201
34.60000000,28.02600000,0.00000000,31.08710967,1.51237503
34.80000000,28.18800000,0.00000000,31.39182587,1.53486214
35.00000000,28.35000000,0.00000000,31.70108501,1.55780659
35.20000000,28.51200000,0.00000000,32.01497991,1.58122216
35.40000000,28.67400000,0.00000000,32.33360623,1.60512314
35.60000000,28.48000000,0.00000000,32.65603194,1.60348761
35.80000000,28.64000000,0.00000000,32.97908910,1.62716354
36.00000000,28.80000000,0.00000000,33.30692963,1.65132356
36.20000000,28.96000000,0.00000000,33.63965178,1.67598234
36.40000000,29.12000000,0.00000000,33.97735682,1.70115507
36.60000000,29.28000000,0.00000000,34.32014912,1.72685754
36.80000000,29.44000000,0.00000000,34.66813625,1.75310615
37.00000000,29.60000000,0.00000000,35.02142912,1.77991793
37.20000000,29.76000000,0.00000000,35.38014214,1.80731058
37.40000000,29.92000000,0.00000000,35.74439331,1.83530252
37.60000000,30.08000000,0.00000000,36.11430438,1.86391288
37.80000000,30.24000000,0.00000000,36.49000101,1.89316158
38.00000000,30.02000000,0.00000000,36.86924146,1.88838079
38.20000000,30.17800000,0.00000000,37.24979937,1.91730266
38.40000000,30.33600000,0.00000000,37.63620493,1.94686061
38.60000000,30.49400000,0.00000000,38.02858738,1.97707507
38.80000000,30.65200000,0.00000000,38.42708014,2.00796726
39.00000000,30.81000000,0.00000000,38.83182094,2.03955931
39.20000000,30.96800000,0.00000000,39.24295205,2.07187422
39.40000000,31.12600000,0.00000000,39.66062042,2.10493598
39.60000000,31.28400000,0.00000000,40.08497789,2.13876958
39.80000000,31.44200000,0.00000000,40.51618143,2.17340104
40.00000000,31.60000000,0.00000000,40.95439331,2.20885752
40.20000000,31.75800000,0.00000000,41.39978133,2.24516734
40.40000000,31.51200000,0.00000000,41.85214144,2.23713411
40.60000000,31.66800000,0.00000000,42.30314284,2.27301944
40.80000000,31.82400000,0.00000000,42.76140597,2.30975619
41.00000000,31.98000000,0.00000000,43.22710402,2.34737349
41.20000000,32.13600000,0.00000000,43.70041610,2.38590172
41.40000000,32.29200000,0.00000000,44.18152754,2.42537257
41.60000000,32.44800000,0.00000000,44.67063017,2.46581916
41.80000000,32.60400000,0.00000000,45.16792256,2.50727608
42.00000000,32.76000000,0.00000000,45.67361036,2.54977943
42.20000000,32.91600000,0.00000000,46.18790661,2.59336701
42.40000000,33.07200000,0.00000000,46.71103207,2.63807831
42.60000000,33.22800000,0.00000000,47.24321560,2.68395463
42.80000000,33.38400000,0.00000000,47.78469447,2.73103924
43.00000000,33.54000000,0.00000000,48.33571486,2.77937741
43.20000000,33.26400000,0.00000000,48.88861063,2.76670979
43.40000000,33.41800000,0.00000000,49.44671585,2.81454828
43.60000000,33.57200000,0.00000000,50.01451381,2.86364482
43.80000000,33.72600000,0.00000000,50.59226078,2.91404647
44.00000000,33.88000000,0.00000000,51.18022268,2.96580250
44.20000000,34.03400000,0.00000000,51.77867551,3.01896455
44.40000000,34.18800000,0.00000000,52.38790584,3.07358673
44.60000000,34.34200000,0.00000000,53.00821132,3.12972582
44.80000000,34.49600000,0.00000000,53.63990126,3.18744141
45.00000000,34.65000000,0.00000000,54.28329715,3.24679601
45.20000000,34.80400000,0.00000000,54.93873330,3.30785531
45.40000000,34.95800000,0.00000000,55.60655751,3.37068833
45.60000000,35.11200000,0.00000000,56.28713171,3.43536765
45.80000000,35.26600000,0.00000000,56.98083274,3.50196959
46.00000000,35.42000000,0.00000000,57.68805307,3.57057449
46.20000000,35.57400000,0.05000000,58.36064304,3.27855249
46.40000000,35.72800000,0.05000000,59.02230426,3.33833462
46.60000000,35.88200000,0.05000000,59.69608900,3.39979850
46.80000000,36.03600000,0.05000000,60.38234020,3.46301069
47.00000000,36.19000000,0.05000000,61.08141448,3.52804111
47.20000000,36.34400000,0.05000000,61.79368275,3.59496320
47.40000000,36.49800000,0.05000000,62.51953101,3.66385418
47.60000000,36.65200000,0.05000000,63.25936109,3.73479526
47.80000000,36.80600000,0.05000000,64.01359147,3.80787187
48.00000000,36.96000000,0.05000000,64.78265819,3.88317399
48.20000000,43.38000000,1.00000000,65.24627573,1.38031248
48.40000000,43.56000000,1.00000000,65.52379309,1.39489449
48.60000000,43.74000000,1.00000000,65.80424705,1.40967927
48.80000000,43.92000000,1.00000000,66.08767858,1.42467087
49.00000000,44.10000000,1.00000000,66.37412946,1.43987348
49.20000000,44.28000000,1.00000000,66.66364233,1.45529137
49.40000000,44.46000000,1.00000000,66.95626066,1.47092893
49.60000000,44.64000000,1.00000000,67.25202884,1.48679066
49.80000000,44.32200000,1.00000000,67.55057032,1.48049767
50.00000000,44.50000000,1.00000000,67.84822534,1.49608871
50.20000000,44.67800000,1.00000000,68.14902044,1.51189925
