R,n_u,r,F,dF_dR
0,0,0,14.3438,0
0.020001,0.00500501,0.00080889,14.4976,0.000485758
0.040002,0.00500501,0.00161778,14.4976,0.000971517
0.060003,0.00500501,0.00242617,14.4976,0.00145729
0.080004,0.00500501,0.00323506,14.4976,0.00194305
0.100005,0.00500501,0.00404395,14.4977,0.00242881
0.120006,0.00500501,0.00485284,14.4977,0.00291458
0.140007,0.00500501,0.00500501,14.4978,0.00341697
0.160008,0.00500501,0.00500501,14.4979,0.00392321
0.180009,0.00500501,0.00500501,14.498,0.00442946
0.20001,0.00500501,0.00500501,14.4981,0.00493571
0.220011,0.00500501,0.00500501,14.4982,0.00544197
0.240012,0.00500501,0.00500501,14.4983,0.00594823
0.260013,0.00500501,0.00500501,14.4984,0.0064545
0.280014,0.00500501,0.00500501,14.4985,0.00696077
0.300015,0.00500501,0.00500501,14.4987,0.00746705
0.320016,0.00500501,0.00500501,14.4988,0.00797334
0.340017,0.00500501,0.00500501,14.499,0.00847963
0.360018,0.00500501,0.00500501,14.4992,0.00898594
0.380019,0.00500501,0.00500501,14.4994,0.00949225
0.40002,0.00500501,0.00500501,14.4996,0.00999857
0.420021,0.00500501,0.00500501,14.4998,0.0105049
0.440022,0.00500501,0.00500501,14.5,0.0110112
0.460023,0.00500501,0.00500501,14.5002,0.0115176
0.480024,0.00500501,0.00500501,14.5004,0.012024
0.500025,0.00500501,0.00500501,14.5007,0.0125303
0.520026,0.00500501,0.00500501,14.5009,0.0130367
0.540027,0.00500501,0.00500501,14.5012,0.0135431
0.560028,0.00500501,0.00500501,14.5015,0.0140495
0.580029,0.00500501,0.00500501,14.5018,0.0145559
0.60003,0.00500501,0.00500501,14.5021,0.0150624
0.620031,0.00500501,0.00500501,14.5024,0.0155688
0.640032,0.00500501,0.00500501,14.5027,0.0160753
0.660033,0.00500501,0.00500501,14.503,0.0165818
0.680034,0.00500501,0.00500501,14.5033,0.0170883
0.700035,0.00500501,0.00500501,14.5037,0.0175948
0.720036,0.00500501,0.00500501,14.504,0.0181013
0.740037,0.00500501,0.00500501,14.5044,0.0186079
0.760038,0.00500501,0.00500501,14.5048,0.0191145
0.780039,0.00500501,0.00500501,14.5052,0.019621
0.80004,0.00500501,0.00500501,14.5056,0.0201276
0.820041,0.00500501,0.00500501,14.506,0.0206343
0.840042,0.00500501,0.00500501,14.5064,0.0211409
0.860043,0.00500501,0.00500501,14.5068,0.0216476
0.880044,0.00500501,0.00500501,14.5073,0.0221543
0.900045,0.00500501,0.00500501,14.5077,0.022661
0.920046,0.00500501,0.00500501,14.5082,0.0231677
0.940047,0.00500501,0.00500501,14.5086,0.0236744
0.960048,0.00500501,0.00500501,14.5091,0.0241812
0.980049,0.00500501,0.00500501,14.5096,0.024688
1.00005,0.00500501,0.00500501,14.5101,0.0251948
1.02005,0.00500501,0.00500501,14.5106,0.0257017
1.04005,0.00500501,0.00500501,14.5111,0.0262085
1.06005,0.00500501,0.00500501,14.5117,0.0267154
1.08005,0.00500501,0.00500501,14.5122,0.0272224
1.10006,0.00500501,0.00500501,14.5128,0.0277293
1.12006,0.00500501,0.00500501,14.5133,0.0282363
1.14006,0.00500501,0.00500501,14.5139,0.0287433
1.16006,0.00500501,0.00500501,14.5145,0.0292503
1.18006,0.00500501,0.00500501,14.5151,0.0297574
1.20006,0.00500501,0.00500501,14.5157,0.0302644
1.22006,0.00500501,0.00500501,14.5163,0.0307716
1.24006,0.00500501,0.00500501,14.5169,0.0312787
1.26006,0.00500501,0.00500501,14.5175,0.0317859
1.28006,0.00500501,0.00500501,14.5182,0.0322931
1.30007,0.00500501,0.00500501,14.5188,0.0328003
1.32007,0.00500501,0.00500501,14.5195,0.0333076
1.34007,0.00500501,0.00500501,14.5202,0.0338149
1.36007,0.00500501,0.00500501,14.5208,0.0343222
1.38007,0.00500501,0.00500501,14.5215,0.0348295
1.40007,0.00500501,0.00500501,14.5222,0.0353369
1.42007,0.00500501,0.00500501,14.5229,0.0358444
1.44007,0.00500501,0.00500501,14.5237,0.0363518
1.46007,0.00500501,0.00500501,14.5244,0.0368593
1.48007,0.00500501,0.00500501,14.5251,0.0373669
1.50008,0.00500501,0.00500501,14.5259,0.0378744
1.52008,0.00500501,0.00500501,14.5267,0.038382
1.54008,0.00500501,0.00500501,14.5274,0.0388897
1.56008,0.00500501,0.00500501,14.5282,0.0393974
1.58008,0.00500501,0.00500501,14.529,0.0399051
1.60008,0.00500501,0.00500501,14.5298,0.0404128
1.62008,0.00500501,0.00500501,14.5306,0.0409206
1.64008,0.00500501,0.00500501,14.5314,0.0414285
1.66008,0.00500501,0.00500501,14.5323,0.0419363
1.68008,0.00500501,0.00500501,14.5331,0.0424442
1.70009,0.00500501,0.00500501,14.534,0.0429522
1.72009,0.00500501,0.00500501,14.5348,0.0434602
1.74009,0.00500501,0.00500501,14.5357,0.0439682
1.76009,0.00500501,0.00500501,14.5366,0.0444763
1.78009,0.00500501,0.00500501,14.5375,0.0449844
1.80009,0.00500501,0.00500501,14.5384,0.0454926
1.82009,0.00500501,0.00500501,14.5393,0.0460008
1.84009,0.00500501,0.00500501,14.5403,0.0465091
1.86009,0.00500501,0.00500501,14.5412,0.0470174
1.88009,0.00500501,0.00500501,14.5421,0.0475257
1.9001,0.00500501,0.00500501,14.5431,0.0480341
1.9201,0.00500501,0.00500501,14.5441,0.0485425
1.9401,0.00500501,0.00500501,14.545,0.049051
1.9601,0.00500501,0.00500501,14.546,0.0495595
1.9801,0.00500501,0.00500501,14.547,0.0500681
2.0001,0.00500501,0.00500501,14.548,0.0505767
2.0201,0.00500501,0.00500501,14.549,0.0510854
2.0401,0.00500501,0.00500501,14.5501,0.0515941
2.0601,0.00500501,0.00500501,14.5511,0.0521029
2.0801,0.00500501,0.00500501,14.5522,0.0526117
2.10011,0.00500501,0.00500501,14.5532,0.0531206
2.12011,0.00500501,0.00500501,14.5543,0.0536295
2.14011,0.00500501,0.00500501,14.5554,0.0541385
2.16011,0.00500501,0.00500501,14.5565,0.0546475
2.18011,0.00500501,0.00500501,14.5576,0.0551566
2.20011,0.00500501,0.00500501,14.5587,0.0556657
2.22011,0.00500501,0.00500501,14.5598,0.0561749
2.24011,0.00500501,0.00500501,14.5609,0.0566842
2.26011,0.00500501,0.00500501,14.5621,0.0571935
2.28011,0.00500501,0.00500501,14.5632,0.0577028
2.30012,0.00500501,0.00500501,14.5644,0.0582122
2.32012,0.00500501,0.00500501,14.5656,0.0587217
2.34012,0.00500501,0.00500501,14.5667,0.0592312
2.36012,0.00500501,0.00500501,14.5679,0.0597408
2.38012,0.00500501,0.00500501,14.5691,0.0602504
2.40012,0.00500501,0.00500501,14.5703,0.0607601
2.42012,0.00500501,0.00500501,14.5716,0.0612698
2.44012,0.00500501,0.00500501,14.5728,0.0617796
2.46012,0.00500501,0.00500501,14.574,0.0622895
2.48012,0.00500501,0.00500501,14.5753,0.0627994
2.50013,0.00500501,0.00500501,14.5766,0.0633094
2.52013,0.00500501,0.00500501,14.5778,0.0638195
2.54013,0.00500501,0.00500501,14.5791,0.0643296
2.56013,0.00500501,0.00500501,14.5804,0.0648398
2.58013,0.00500501,0.00500501,14.5817,0.06535
2.60013,0.00500501,0.00500501,14.583,0.0658603
2.62013,0.00500501,0.00500501,14.5844,0.0663707
2.64013,0.00500501,0.00500501,14.5857,0.0668811
2.66013,0.00500501,0.00500501,14.587,0.0673916
2.68013,0.00500501,0.00500501,14.5884,0.0679021
2.70014,0.00500501,0.00500501,14.5898,0.0684127
2.72014,0.00500501,0.00500501,14.5911,0.0689234
2.74014,0.00500501,0.00500501,14.5925,0.0694342
2.76014,0.00500501,0.00500501,14.5939,0.069945
2.78014,0.00500501,0.00500501,14.5953,0.0704559
2.80014,0.00500501,0.00500501,14.5968,0.0709668
2.82014,0.00500501,0.00500501,14.5982,0.0714779
2.84014,0.00500501,0.00500501,14.5996,0.071989
2.86014,0.00500501,0.00500501,14.6011,0.0725001
2.88014,0.00500501,0.00500501,14.6025,0.0730113
2.90015,0.00500501,0.00500501,14.604,0.0735226
2.92015,0.00500501,0.00500501,14.6055,0.074034
2.94015,0.00500501,0.00500501,14.607,0.0745455
2.96015,0.00500501,0.00500501,14.6085,0.075057
2.98015,0.00500501,0.00500501,14.61,0.0755686
3.00015,0.00500501,0.00500501,14.6115,0.0760802
3.02015,0.00500501,0.00500501,14.613,0.076592
3.04015,0.00500501,0.00500501,14.6146,0.0771038
3.06015,0.00500501,0.00500501,14.6161,0.0776156
3.08015,0.00500501,0.00500501,14.6177,0.0781276
3.10016,0.00500501,0.00500501,14.6193,0.0786396
3.12016,0.00500501,0.00500501,14.6209,0.0791517
3.14016,0.00500501,0.00500501,14.6225,0.0796639
3.16016,0.00500501,0.00500501,14.6241,0.0801762
3.18016,0.00500501,0.00500501,14.6257,0.0806885
3.20016,0.00500501,0.00500501,14.6273,0.081201
3.22016,0.00500501,0.00500501,14.6289,0.0817135
3.24016,0.00500501,0.00500501,14.6306,0.082226
3.26016,0.00500501,0.00500501,14.6322,0.0827387
3.28016,0.00500501,0.00500501,14.6339,0.0832514
3.30017,0.00500501,0.00500501,14.6356,0.0837642
3.32017,0.00500501,0.00500501,14.6373,0.0842771
3.34017,0.00500501,0.00500501,14.639,0.0847901
3.36017,0.00500501,0.00500501,14.6407,0.0853032
3.38017,0.00500501,0.00500501,14.6424,0.0858163
3.40017,0.00500501,0.00500501,14.6441,0.0863295
3.42017,0.00500501,0.00500501,14.6459,0.0868428
3.44017,0.00500501,0.00500501,14.6476,0.0873562
3.46017,0.00500501,0.00500501,14.6494,0.0878697
3.48017,0.00500501,0.00500501,14.6512,0.0883833
3.50018,0.00500501,0.00500501,14.6529,0.0888969
3.52018,0.00500501,0.00500501,14.6547,0.0894107
3.54018,0.00500501,0.00500501,14.6565,0.0899245
3.56018,0.00500501,0.00500501,14.6583,0.0904384
3.58018,0.00500501,0.00500501,14.6602,0.0909524
3.60018,0.00500501,0.00500501,14.662,0.0914665
3.62018,0.00500501,0.00500501,14.6638,0.0919806
3.64018,0.00500501,0.00500501,14.6657,0.0924949
3.66018,0.00500501,0.00500501,14.6676,0.0930093
3.68018,0.00500501,0.00500501,14.6694,0.0935237
3.70019,0.00500501,0.00500501,14.6713,0.0940382
3.72019,0.00500501,0.00500501,14.6732,0.0945528
3.74019,0.00500501,0.00500501,14.6751,0.0950676
3.76019,0.00500501,0.00500501,14.677,0.0955824
3.78019,0.00500501,0.00500501,14.679,0.0960973
3.80019,0.00500501,0.00500501,14.6809,0.0966123
3.82019,0.00500501,0.00500501,14.6829,0.0971273
3.84019,0.00500501,0.00500501,14.6848,0.0976425
3.86019,0.00500501,0.00500501,14.6868,0.0981578
3.88019,0.00500501,0.00500501,14.6888,0.0986732
3.9002,0.00500501,0.00500501,14.6908,0.0991886
3.9202,0.00500501,0.00500501,14.6928,0.0997042
