r,n_opt,F_min,partial_F_r,eefactor
0.000000,0.098049,1.480379,0.000000,0.000000
0.016008,0.098810,1.480249,-0.010156,0.008100
0.032016,0.098572,1.479978,-0.020552,0.016240
0.048024,0.098334,1.479570,-0.031182,0.024419
0.064032,0.098097,1.479018,-0.042040,0.032637
0.080040,0.098859,1.478315,-0.050491,0.040482
0.096048,0.098624,1.477362,-0.061231,0.048694
0.112056,0.098389,1.476256,-0.072170,0.056946
0.128064,0.098155,1.474994,-0.083300,0.065236
0.144072,0.097921,1.473570,-0.094615,0.073565
0.160080,0.097689,1.471978,-0.106107,0.081934
0.176088,0.097457,1.470214,-0.117767,0.090341
0.192096,0.097226,1.468273,-0.129585,0.098788
0.208104,0.096996,1.466149,-0.141554,0.107275
0.224112,0.012200,1.193417,-104.462617,0.918455
0.240120,0.013000,0.956602,-80.511454,0.923503
0.256128,0.013800,0.789718,-58.961503,0.927967
0.272136,0.014600,0.679891,-39.233778,0.931941
0.288144,0.015400,0.617448,-20.889712,0.935503
0.304152,0.016200,0.595009,-3.592184,0.938712
0.320160,0.017000,0.606865,12.921418,0.941620
0.336168,0.017800,0.648543,28.858154,0.944266
0.352176,0.018600,0.716502,44.383097,0.946685
0.368184,0.020392,0.706617,-19.982069,0.902775
0.384192,0.021191,0.657133,-13.497081,0.906482
0.400200,0.021991,0.628937,-7.285904,0.909919
0.416208,0.022791,0.619742,-1.298430,0.913114
0.432216,0.023590,0.627635,4.507597,0.916093
0.448224,0.024390,0.651004,10.168018,0.918877
0.464232,0.026178,0.663474,-7.228437,0.886674
0.480240,0.026977,0.646533,-3.922189,0.890076
0.496248,0.027777,0.642004,-0.706349,0.893282
0.512256,0.028576,0.648870,2.433530,0.896309
0.528264,0.029375,0.666246,5.510106,0.899171
0.544272,0.031161,0.664651,-2.447570,0.873318
0.560280,0.031960,0.662924,-0.382654,0.876535
0.576288,0.032759,0.669730,1.641990,0.879594
0.592296,0.034543,0.684457,-2.183053,0.857326
0.608304,0.035342,0.682105,-0.711078,0.860606
0.624312,0.036140,0.686726,0.735317,0.863740
0.640320,0.036938,0.697893,2.159549,0.866740
0.656328,0.038721,0.701431,-0.351593,0.847511
0.672336,0.039519,0.707292,0.738364,0.850651
0.688344,0.040317,0.718588,1.813892,0.853667
0.704352,0.042098,0.722407,0.175486,0.836567
0.720360,0.042895,0.730891,1.029220,0.839671
0.736368,0.044675,0.739355,0.007991,0.824138
0.752376,0.045472,0.746887,0.704086,0.827291
0.768384,0.047251,0.757166,0.028872,0.813092
0.784392,0.048048,0.764839,0.608430,0.816267
0.800400,0.049825,0.775854,0.138700,0.803214
0.816408,0.050621,0.784314,0.629494,0.806389
0.832416,0.052397,0.795727,0.287491,0.794331
0.848424,0.053193,0.805344,0.709049,0.797492
0.864432,0.054968,0.817125,0.449489,0.786303
0.880440,0.055764,0.828103,0.815983,0.789438
0.896448,0.057537,0.840340,0.611381,0.779013
0.912456,0.058333,0.852779,0.933356,0.782115
0.928464,0.060105,0.865595,0.766451,0.772367
0.944472,0.060900,0.879526,1.051926,0.775430
0.960480,0.062671,0.893043,0.911557,0.766286
0.976488,0.064442,0.907783,0.814967,0.757653
0.992496,0.065236,0.922779,1.045504,0.760701
1.008504,0.067005,0.938305,0.959380,0.752560
1.024512,0.067798,0.954854,1.168155,0.755557
1.040520,0.069567,0.971257,1.089735,0.747860
1.056528,0.071334,0.988703,1.032811,0.740552
1.072536,0.072127,1.006628,1.207319,0.743509
1.088544,0.073893,1.025028,1.152869,0.736571
1.104552,0.074685,1.044387,1.313400,0.739473
1.120560,0.076450,1.063780,1.260830,0.732872
1.136568,0.078214,1.084151,1.220373,0.726576
1.152576,0.079006,1.104898,1.358086,0.729427
1.168584,0.080768,1.126291,1.317645,0.723416
1.184592,0.081560,1.148315,1.445870,0.726212
1.200600,0.083321,1.170736,1.405444,0.720464
1.216608,0.084112,1.193958,1.525260,0.723207
1.232616,0.085873,1.217406,1.484876,0.717701
1.248624,0.086663,1.241755,1.597207,0.720391
1.264632,0.088422,1.266222,1.556904,0.715110
1.280640,0.090181,1.291610,1.522878,0.710042
1.296648,0.090970,1.317106,1.622364,0.712677
1.312656,0.092728,1.343492,1.587943,0.707803
1.328664,0.093517,1.369982,1.681984,0.710389
1.344672,0.094306,1.397336,1.776179,0.712931
1.360680,0.096062,1.424776,1.736401,0.708234
1.376688,0.096850,1.453022,1.825684,0.710730
1.392696,0.098605,1.481418,1.786170,0.706201
1.408704,0.099393,1.510508,1.870993,0.708653
1.424712,0.101146,1.539839,1.831780,0.704282
1.440720,0.101934,1.569729,1.912537,0.706690
1.456728,0.103686,1.599975,1.873659,0.702468
1.472736,0.104474,1.630623,1.950698,0.704834
