f,R_opt,n_opt,F_min,tension
0,0,0,21.9297,0
0.01,0.4,0,21.9277,0.0101556
0.02,0.78,0,21.9218,0.0198106
0.03,1.18,0,21.912,0.0299888
0.04,1.58,0,21.8982,0.0401901
0.05,1.96,0,21.8805,0.04991
0.06,2.36,0,21.8589,0.0601792
0.07,2.74,0,21.8335,0.0699781
0.08,3.12,0,21.8041,0.0798262
0.09,3.52,0,21.7709,0.0902533
0.1,3.9,0,21.7339,0.100224
0.11,4.26,0,21.6931,0.109736
0.12,4.64,0,21.6485,0.119852
0.13,5.02,0,21.6002,0.130054
0.14,5.38,0,21.5482,0.139804
0.15,5.76,0,21.4925,0.150194
0.16,6.12,0,21.4331,0.160138
0.17,6.48,0,21.3702,0.170186
0.18,6.82,0,21.3037,0.179779
0.19,7.18,0,21.2337,0.190051
0.2,7.52,0,21.1601,0.199868
0.21,7.86,0,21.0832,0.209804
0.22,8.2,0,21.0028,0.219866
0.23,8.54,0,20.9191,0.230061
0.24,8.86,0,20.8321,0.239784
0.25,9.2,0,20.7418,0.250257
0.26,9.52,0,20.6483,0.260254
0.27,9.82,0,20.5516,0.269757
0.28,10.14,0,20.4517,0.280038
0.29,10.44,0,20.3488,0.289818
0.3,10.74,0,20.2428,0.299742
0.31,11.04,0,20.1339,0.309815
0.32,11.34,0,20.0219,0.320043
0.33,11.62,0,19.9071,0.329736
0.34,11.92,0,19.7894,0.340284
0.35,12.2,0,19.6689,0.350286
0.36,12.46,0,19.5456,0.359716
0.37,12.74,0,19.4195,0.370029
0.38,13,0,19.2908,0.379758
0.39,13.26,0,19.1594,0.389638
0.4,13.52,0,19.0254,0.399676
0.41,13.78,0,18.8889,0.409876
0.42,14.04,0,18.7498,0.420244
0.43,14.28,0,18.6082,0.429968
0.44,14.52,0,18.4642,0.439846
0.45,14.76,0,18.3177,0.449881
0.46,15,0,18.1689,0.460079
0.47,15.22,0,18.0178,0.469574
0.48,15.46,0,17.8643,0.480098
0.49,15.68,0,17.7086,0.489902
0.5,15.9,0,17.5507,0.49986
0.51,16.12,0,17.3906,0.509976
0.52,16.34,0,17.2283,0.520256
0.53,16.54,0,17.0639,0.529747
0.54,16.76,0,16.8974,0.540353
0.55,16.96,0,16.7289,0.550148
0.56,17.16,0,16.5583,0.560093
0.57,17.36,0,16.3857,0.570194
0.58,17.56,0,16.2112,0.580454
0.59,17.74,0,16.0347,0.589827
0.6,17.94,0,15.8563,0.600401
0.61,18.12,0,15.6761,0.610064
0.62,18.3,0,15.4939,0.619869
0.63,18.48,0,15.31,0.629821
0.64,18.66,0,15.1243,0.639923
0.65,18.84,0,14.9368,0.650177
0.66,19,0,14.7476,0.659425
