f,R_opt,n_opt,F_min,tension
0.0,0.0,0.0,16.92968466238996,0.0
0.1,3.8,0.0,16.734038504808108,0.09759377275402693
0.2,7.6,0.0,16.16022061614026,0.20219483504437974
0.3,10.8,0.0,15.242866601076267,0.30174424981016956
0.4,13.600000000000001,0.0,14.025517908977594,0.402796602745409
0.5,16.0,0.0,12.550920917565712,0.5044383854453812
0.6,18.0,0.0,10.85643423980803,0.6036059145175455
0.7000000000000001,19.6,0.0,8.973874628093487,0.6952563200606431
0.8,21.2,0.0,6.92863054519605,0.8007632706425931
0.8999999999999999,22.6,0.0,4.742489109402509,0.9071953161291969
1.0,23.599999999999998,0.0,2.4318462507815077,0.993011926770486
1.1,24.8,0.0,0.011476367168373969,1.108922861067205
1.2,25.6,0.0,-2.507338110189629,1.1953720864827397
1.3,26.400000000000002,0.0,-5.11365181269867,1.2903643031500918
1.4000000000000001,27.200000000000003,0.0,-7.800149232129833,1.3951365508258455
1.5,28.000000000000004,0.0,-10.558437118172009,1.511153895889366
1.6,28.599999999999998,0.0,-13.383501107611458,1.6065843186209723
1.7000000000000002,29.2,0.0,-16.268904503538906,1.7101762028953242
1.7999999999999998,29.599999999999998,0.0,-19.21015909084518,1.7842548258440938
1.9,30.2,0.0,-22.204289658810076,1.9037254935433978
2.0,30.599999999999998,0.0,-25.245819309690255,1.9894861363355016
2.1,31.0,0.0,-28.33198375107839,2.0806257986557477
2.2,31.4,0.0,-31.46053908842842,2.1776140618351882
2.3000000000000003,31.8,0.0,-34.62904339119512,2.2809726226121905
2.4,32.2,0.0,-37.8348344607673,2.3912823992052332
2.5,32.6,0.0,-41.07500453133992,2.5091917937525894
2.6,32.800000000000004,0.0,-44.346998845481025,2.571219765769706
2.7,33.2,0.0,-47.65267611470933,2.70191608166362
2.8000000000000003,33.4,0.0,-50.98544537356923,2.770799943791733
2.9,33.800000000000004,0.0,-54.34839134047451,2.916228228025578
3.0,34.0,0.0,-57.737512773147714,2.9930305865644065
3.1,34.2,0.0,-61.150985050289314,3.072744082139041
3.2,34.599999999999994,0.0,-64.58856260265901,3.2415162213101425
3.3000000000000003,34.8,0.0,-68.05137840205063,3.3309060932352095
3.4000000000000004,35.0,0.0,-71.53596184426218,3.423871194791585
3.5,35.199999999999996,0.0,-75.04157861922064,3.5206063173120166
3.5999999999999996,35.4,0.0,-78.56745413351264,3.621319681984986
3.7,35.6,0.0,-82.11277071348863,3.726234066751827
3.8,35.8,0.0,-85.6766645720023,3.8355880450793696
3.9000000000000004,36.0,0.0,-89.25822251514816,3.949637349484019
4.0,36.0,0.0,-92.85822251514816,3.949637349484019
4.1,36.199999999999996,0.0,-96.47647836262037,4.068656374374541
4.2,36.4,0.0,-100.11040905221344,4.192939834722907
4.3,36.6,0.005,-103.76650344668468,4.251028024477328
4.4,58.599999999999994,0.9950000000000001,-107.9365847868371,4.3874913834491105
4.5,58.8,0.9950000000000001,-113.81051572023577,4.473604792973136
4.6000000000000005,59.199999999999996,1.0,-119.71565295658309,4.602448910178562
4.699999999999999,59.599999999999994,1.0050000000000001,-125.64778916817897,4.736253378881897
4.8,59.8,1.0050000000000001,-131.61099131400397,4.832192646155342
4.9,82.19999999999999,1.995,-139.18552109983392,4.919366706697008
5.0,82.6,2.0,-147.41526808241753,5.025758381013916
5.1,82.8,2.0,-155.68255059994198,5.101693700139692
5.2,83.2,2.005,-163.98410133796853,5.213506000643884
5.300000000000001,105.80000000000001,2.9899999999999998,-172.94101838096384,5.302140666243677
5.4,106.2,2.995,-183.5479355658439,5.394787261227349
5.5,106.60000000000001,3.0,-194.19299056990997,5.489616679872095
5.6000000000000005,107.0,3.005,-204.87557139400582,5.586696603457629
5.699999999999999,107.4,3.01,-215.59506225024427,5.686097329081785
5.8,130.4,3.995,-228.3924003775047,5.798352905528627
5.8999999999999995,130.8,4.0,-241.45351718485574,5.884606634682608
6.0,131.20000000000002,4.0,-254.5549339238944,6.008945747514128
6.1,131.6,4.005,-267.7004828842677,6.099577768314757
6.2,155.0,4.995,-282.19262899356727,6.219083346996709
6.3,155.4,5.0,-297.70496798688237,6.299895412269395
6.4,155.8,5.0,-313.26179394576934,6.416498888619046
6.5,156.0,5.0,-328.85255810285753,6.475994163052751
6.6000000000000005,156.4,5.0,-344.4779809372865,6.597445081772988
6.7,156.8,5.0,-360.13415110299115,6.722278198682966
6.800000000000001,157.0,5.0,-375.82333778369446,6.786002555876257
6.8999999999999995,157.4,5.0,-391.54302885682444,6.916149072569984
7.0,157.6,5.0,-407.29316902892856,6.982605281069464
7.1,158.0,5.0,-423.0731020716761,7.118371772423867
7.199999999999999,158.20000000000002,5.0,-438.8825095560063,7.187718594741919
7.3,158.6,5.0,-454.7192150522219,7.329434063720417
7.4,158.8,5.0,-470.5861049520785,7.401841962140272
7.5,159.0,5.0,-486.47840757443873,7.475310271126988
7.6,159.4,5.0,-502.39839013244296,7.625512024642868
7.7,159.60000000000002,5.0,-518.3456289848098,7.7022887232450366
7.800000000000001,159.8,5.0,-534.3173981810678,7.780212371748687
7.9,160.20000000000002,5.0,-550.3135962255456,7.9395930990785555
8.0,160.4,5.0,-566.3375476220202,8.02109793415001
8.100000000000001,160.60000000000002,5.0,-582.3850742200798,8.103845267440034
8.2,160.8,5.0,-598.4559249882291,8.187860524740081
8.299999999999999,161.0,5.0,-614.5498437447873,8.273169785441
8.4,161.20000000000002,5.0,-630.666569025153,8.35979980279935
8.5,161.60000000000002,5.0,-646.8073660588491,8.537132616630862
8.6,161.8,5.0,-662.9708872150816,8.627892481846551
8.7,162.0,5.0,-679.1561134051842,8.720087287180549
8.8,162.20000000000002,5.0,-695.3627546091075,8.81374748611534
8.9,162.4,5.0,-711.5905146353239,8.908904344203311
9.0,162.6,5.0,-727.8390909558217,9.005589965191906
9.1,162.79999999999998,5.0,-744.1081745357685,9.103837318134659
9.200000000000001,163.0,5.0,-760.3974496576546,9.203680265530762
9.3,163.2,5.0,-776.7065937396999,9.30515359253811
9.399999999999999,163.39999999999998,5.0,-793.035277148309,9.40829303730681
9.5,163.6,5.0,-809.3831630043434,9.513135322482546
9.6,163.79999999999998,5.0,-825.7499069829669,9.619718187931605
9.7,164.0,5.0,-842.1351571068275,9.728080424742183
9.8,164.2,5.0,-858.5385535322989,9.838261910558952
9.9,164.39999999999998,5.0,-874.9597283285224,9.950303646311072
10.0,164.39999999999998,5.0,-891.3997283285222,9.950303646311072
